#Frame            sb1          sb2
       1       4.1662       2.8333
       2       3.5973       2.8079
       3       3.9210       2.8230
       4       3.9119       2.7643
       5       3.7290       2.8343
       6       4.0463       2.7711
       7       4.0279       2.8660
       8       3.9823       2.7158
       9       3.4047       2.8899
      10       3.6991       2.6416
      11       3.5860       2.8130
      12       4.0316       2.7904
      13       3.6031       2.7663
      14       4.0110       2.7508
      15       3.8918       2.7727
      16       3.8714       3.1382
      17       4.0033       2.6232
      18       3.6983       2.6883
      19       3.9698       2.7654
      20       4.0310       2.6674
      21       3.5062       2.7937
      22       3.5928       2.6099
      23       3.7725       2.8936
      24       3.7871       2.8243
      25       4.0136       2.6948
      26       3.9289       2.8338
      27       3.8946       2.7935
      28       3.8974       2.7340
      29       3.5975       2.7462
      30       3.9559       2.7681
      31       4.2569       2.9429
      32       4.0190       2.7926
      33       3.7769       2.9773
      34       3.3942       2.6250
      35       3.9346       2.7217
      36       4.2935       2.7716
      37       4.0214       2.7622
      38       4.4404       2.8163
      39       4.1644       2.7003
      40       4.1318       2.6954
      41       4.3967       2.7434
      42       4.4688       2.8552
      43       4.1199       2.6423
      44       4.0756       2.7729
      45       4.2511       2.6745
      46       3.8855       2.8635
      47       4.0468       2.5765
      48       3.5422       2.6623
      49       3.6707       2.6405
      50       4.3347       2.6717
      51       4.4568       2.7143
      52       3.7785       2.6728
      53       4.1551       2.7789
      54       3.9571       2.9141
      55       4.2365       2.8635
      56       4.2694       2.7624
      57       4.0510       2.7585
      58       4.1273       2.6163
      59       3.9324       2.8532
      60       3.9752       2.9053
      61       3.7177       2.7967
      62       4.1114       2.6779
      63       3.9552       2.8487
      64       3.9517       2.6930
      65       3.9413       2.6940
      66       4.1219       2.6927
      67       3.9295       2.7646
      68       3.7981       2.9212
      69       3.8336       2.8193
      70       4.1404       2.8067
      71       3.9921       3.0049
      72       3.8029       2.7101
      73       4.2583       2.7155
      74       3.9545       2.7687
      75       3.8515       2.7150
      76       3.4344       2.8164
      77       3.3797       2.7427
      78       4.2506       2.7702
      79       3.5310       2.7619
      80       3.6640       2.7363
      81       3.9447       2.7349
      82       4.1410       2.6400
      83       3.8045       2.9288
      84       4.0545       2.8397
      85       3.9665       2.7840
      86       4.2785       2.7790
      87       4.0806       2.7887
      88       3.9537       2.6543
      89       4.2704       2.8104
      90       3.9672       2.6895
      91       3.7859       2.8817
      92       3.6711       2.7544
      93       4.2249       2.6222
      94       3.6836       2.6801
      95       4.3587       2.6741
      96       3.6070       2.7583
      97       3.9254       2.7673
      98       4.0056       2.7882
      99       3.9949       2.8036
     100       3.8056       2.7712
     101       3.9290       2.5943
     102       3.4792       2.8524
     103       3.4477       2.8374
     104       3.8554       2.8150
     105       3.6533       2.7979
     106       3.5359       2.7647
     107       3.5214       2.7479
     108       3.5702       2.7168
     109       3.7896       2.7073
     110       3.8784       2.7971
     111       3.3783       2.5975
     112       3.8822       2.6928
     113       3.6693       2.7153
     114       3.5101       2.6271
     115       3.6112       2.7028
     116       3.5528       2.6074
     117       3.7157       2.8809
     118       4.0878       2.7384
     119       3.8675       2.9058
     120       3.6161       2.6199
     121       3.9587       2.7601
     122       3.6421       2.8795
     123       3.3489       2.9149
     124       3.2504       2.7232
     125       3.5466       2.8527
     126       3.0731       3.0529
     127       3.4862       2.7849
     128       3.6321       2.7686
     129       3.6881       2.7870
     130       3.9152       2.8113
     131       3.4350       2.6960
     132       3.5775       2.6769
     133       3.1979       2.8734
     134       3.2472       2.8269
     135       3.4066       2.6648
     136       3.4695       2.7994
     137       4.2377       2.8982
     138       3.8858       2.7603
     139       3.7877       2.6767
     140       3.6972       2.7591
     141       3.7432       2.6834
     142       3.7653       2.8579
     143       3.9488       2.7761
     144       3.5236       2.7782
     145       3.4554       2.6620
     146       3.7699       2.7966
     147       3.6603       2.8482
     148       3.7712       2.6425
     149       3.3781       2.6201
     150       3.6732       2.7428
     151       3.7253       2.6394
     152       3.5947       2.7683
     153       3.5955       2.7990
     154       3.6606       2.8631
     155       3.3110       2.6841
     156       3.6397       2.8165
     157       3.3558       2.7241
     158       3.9424       2.6849
     159       3.8895       2.8590
     160       4.2043       2.8922
     161       3.9334       2.7507
     162       3.7796       2.6342
     163       4.0629       2.6900
     164       3.8007       2.6494
     165       3.4352       2.7370
     166       3.7878       2.6877
     167       3.6090       2.7264
     168       3.6681       2.7080
     169       3.6871       2.7749
     170       3.6889       2.6660
     171       3.6917       2.7185
     172       3.7131       2.8713
     173       3.6444       2.7041
     174       3.7226       2.8069
     175       3.6171       2.7451
     176       3.7770       3.0130
     177       3.6900       2.5826
     178       3.8804       2.8158
     179       3.5416       2.7128
     180       3.7838       2.7092
     181       3.6409       2.7326
     182       3.5523       2.7292
     183       3.5842       2.7841
     184       3.3784       2.6192
     185       3.5654       2.8871
     186       3.5935       2.8028
     187       3.4864       2.6135
     188       3.5297       2.7305
     189       3.7009       2.7958
     190       3.7997       2.7875
     191       3.7201       2.7677
     192       3.8019       2.6516
     193       3.6644       2.7301
     194       3.6589       2.7064
     195       3.7187       2.7269
     196       3.9199       2.7547
     197       3.7085       2.6758
     198       3.6022       2.7915
     199       3.6881       2.6559
     200       3.7440       2.7875
     201       3.3419       2.6646
     202       3.5104       2.6116
     203       3.5816       2.7365
     204       3.5272       2.6621
     205       4.2154       3.0745
     206       3.7843       2.8828
     207       3.8251       2.7512
     208       4.2986       2.9215
     209       4.0798       2.8528
     210       4.0768       2.7965
     211       4.1190       3.1257
     212       3.9449       2.7642
     213       3.5223       2.6501
     214       3.4556       2.7150
     215       4.0784       2.6749
     216       4.1147       2.7699
     217       3.6677       2.7240
     218       3.5799       2.7572
     219       4.0414       2.8150
     220       3.8057       2.6403
     221       3.6455       2.6905
     222       3.8514       2.8278
     223       3.6735       2.6850
     224       3.9069       2.7985
     225       3.2131       2.7564
     226       3.7016       2.8937
     227       3.8025       2.9256
     228       3.5406       2.7544
     229       3.8107       2.6767
     230       3.6928       2.6587
     231       3.6094       2.8457
     232       3.5561       2.7591
     233       4.0588       2.7372
     234       3.9920       2.8852
     235       3.9026       2.8016
     236       3.5534       2.6386
     237       3.4703       2.7286
     238       3.8589       2.7146
     239       3.7439       2.7651
     240       3.6099       2.8149
     241       3.6551       2.8762
     242       4.0633       2.7741
     243       3.7766       2.7305
     244       4.4114       2.9323
     245       4.2418       2.8060
     246       3.7700       2.7510
     247       3.6687       2.7987
     248       4.0782       2.7047
     249       3.8519       2.6939
     250       3.7539       2.7917
     251       3.9912       2.7289
     252       4.1551       2.8417
     253       4.1535       2.6306
     254       3.6689       2.7653
     255       3.8396       2.6207
     256       3.5774       2.6836
     257       3.9866       2.8181
     258       3.5093       2.8350
     259       3.6018       2.6845
     260       3.8344       2.6465
     261       3.7505       2.8781
     262       3.8240       2.8505
     263       4.1290       2.8187
     264       3.5510       2.6927
     265       3.6688       2.7809
     266       3.9505       2.8031
     267       3.7925       2.7410
     268       3.7087       2.6410
     269       3.7764       2.7799
     270       4.1141       2.7901
     271       4.0184       2.8715
     272       3.8507       2.7592
     273       4.0348       2.7053
     274       3.5693       2.7784
     275       4.0697       2.7171
     276       4.2703       3.0124
     277       3.5273       2.7719
     278       3.9057       2.9480
     279       3.6204       2.8426
     280       3.9885       2.7331
     281       3.7184       2.6857
     282       4.0478       2.7818
     283       3.7262       2.6123
     284       3.8673       2.7565
     285       4.0894       2.7920
     286       3.4938       2.8126
     287       3.4688       2.7031
     288       3.5933       2.7449
     289       3.6353       2.8556
     290       3.8849       2.8110
     291       3.9832       2.9262
     292       3.7439       2.8756
     293       4.0073       2.6398
     294       3.6632       2.8181
     295       3.3882       2.8052
     296       3.7135       2.7232
     297       3.8202       2.7331
     298       3.4895       2.5781
     299       3.3388       2.7641
     300       3.7890       2.6904
     301       4.1334       2.6869
     302       3.9764       2.9007
     303       3.2937       2.6201
     304       3.5256       2.9268
     305       3.3649       2.7347
     306       3.8995       2.7855
     307       3.4920       2.6124
     308       3.7795       3.2585
     309       3.5083       2.9557
     310       3.5713       2.7752
     311       3.7549       2.6489
     312       3.7916       2.8911
     313       3.6850       2.7006
     314       3.3588       2.7546
     315       3.7112       2.6623
     316       3.9142       2.9298
     317       3.9757       2.7563
     318       3.8515       2.7631
     319       3.8708       2.6591
     320       3.8725       2.6932
     321       3.8805       2.8883
     322       3.9914       2.7651
     323       3.8809       2.8472
     324       3.8094       2.7197
     325       3.7023       2.6402
     326       3.4858       2.7127
     327       3.8294       2.7523
     328       3.9752       2.7112
     329       3.9786       2.7723
     330       3.4554       2.9778
     331       3.7031       2.6380
     332       3.5848       2.6691
     333       3.9865       2.7276
     334       3.7359       2.7704
     335       3.9481       2.8840
     336       3.3466       2.9647
     337       3.8965       2.8824
     338       3.8231       2.8067
     339       3.6840       2.7278
     340       3.8905       2.7694
     341       3.4793       2.6979
     342       4.0404       2.8143
     343       3.9846       2.7317
     344       4.3369       2.9158
     345       4.2117       2.7025
     346       3.9170       2.7109
     347       4.3065       2.7620
     348       3.9928       2.8211
     349       4.2777       2.7478
     350       4.1022       2.6814
     351       4.4921       2.6672
     352       4.6005       3.0104
     353       4.3716       2.8565
     354       4.0676       2.6430
     355       4.2415       2.8733
     356       4.2052       2.8336
     357       4.4204       2.8168
     358       4.3627       2.8132
     359       4.4580       2.8533
     360       4.4441       2.9870
     361       4.4944       2.7990
     362       4.0071       2.7776
     363       4.0076       2.7221
     364       4.4387       2.7775
     365       4.0116       2.7233
     366       4.3922       2.7731
     367       4.1392       2.7763
     368       4.0543       2.7128
     369       4.9147       2.9517
     370       4.4113       2.6901
     371       4.1274       2.6327
     372       3.9635       2.7754
     373       4.4414       2.8390
     374       3.9239       2.7998
     375       4.2384       2.6786
     376       4.3276       2.7632
     377       4.0507       2.7312
     378       4.3334       2.7733
     379       4.4686       2.8148
     380       4.0064       2.7922
     381       4.3595       2.8732
     382       4.0065       2.6533
     383       4.3640       2.7593
     384       3.8245       2.7917
     385       3.9824       2.7486
     386       4.4621       2.7693
     387       4.1831       2.6784
     388       4.1694       2.5800
     389       3.8767       2.7753
     390       4.1722       2.6692
     391       4.3231       2.6669
     392       4.4879       2.7660
     393       4.1515       2.6745
     394       4.5719       2.7390
     395       4.2732       2.8255
     396       4.3844       2.8169
     397       4.2308       2.6498
     398       4.3492       2.7659
     399       4.4500       2.7404
     400       4.3641       2.6654
     401       4.2764       2.7796
     402       4.6606       2.9937
     403       3.4829       2.6117
     404       4.1102       2.6338
     405       4.2307       2.7319
     406       4.2012       2.8109
     407       3.7926       2.7528
     408       4.3788       2.7263
     409       4.2337       2.6339
     410       4.4400       2.7190
     411       4.4060       2.7073
     412       4.4774       2.7629
     413       3.7672       2.5409
     414       4.1637       2.7708
     415       4.4138       2.7680
     416       4.2018       2.8336
     417       4.2476       2.8573
     418       4.2215       2.6259
     419       4.0602       2.8962
     420       4.2820       2.6609
     421       4.3310       2.6993
     422       4.2166       2.7191
     423       4.7502       3.0213
     424       4.2476       2.7396
     425       4.5371       2.7044
     426       4.4062       2.7736
     427       4.1640       2.7140
     428       4.5069       2.8020
     429       4.5285       2.9488
     430       4.2808       2.6426
     431       4.8619       2.8805
     432       4.4106       2.8220
     433       4.2560       2.7564
     434       3.9532       2.6637
     435       4.1083       2.6753
     436       4.5479       2.7346
     437       4.2061       2.8393
     438       4.3352       2.8458
     439       4.4085       2.7608
     440       4.1572       2.6934
     441       4.2859       2.9220
     442       3.7792       2.6137
     443       4.4539       2.6883
     444       4.3222       2.6070
