GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,572.2523,1502.0492,970.6162,0.0,0.0,0.0,-1422.4273,-11911.7903,640.5996,5781.9968,-2850.1864,68.61857904,-3866.7035000000005,-2781.56782096,-6648.27132096
1,561.9561,1535.2787,997.9285,0.0,0.0,0.0,-1399.1852,-12000.1001,627.9981,5812.5273,-2824.1745,69.55308575999999,-3863.596599999999,-2754.62141424,-6618.218014239999
2,554.7782,1562.0194,1025.2954,0.0,0.0,0.0,-1411.4148,-11956.3436,624.4371,5776.2726,-2805.3866,68.67034776,-3824.9557000000004,-2736.71625224,-6561.67195224
3,549.6228,1526.1738,984.8855,0.0,0.0,0.0,-1409.4748,-12027.5467,643.6356,5842.1348,-2805.7827,69.01280928,-3890.5690000000013,-2736.76989072,-6627.3388907200015
4,578.0933,1477.9163,1017.3788,0.0,0.0,0.0,-1410.162,-11929.9645,632.9806,5814.6029,-2860.3018,68.7823956,-3819.1546,-2791.5194044,-6610.6740044
5,592.2462,1557.4147,1012.8404,0.0,0.0,0.0,-1427.8404,-11843.5083,622.6599,5773.6236,-2917.5626,68.39411544,-3712.5638999999983,-2849.1684845600003,-6561.7323845599985
6,551.415,1546.9915,1015.909,0.0,0.0,0.0,-1419.3792,-12018.6285,634.4333,5849.3273,-2890.0788,68.97940559999999,-3839.931600000001,-2821.0993943999997,-6661.030994400001
7,551.729,1494.9058,1003.3916,0.0,0.0,0.0,-1438.4932,-11957.1878,637.6999,5860.1569,-2887.5605,68.6545632,-3847.7978000000003,-2818.9059368,-6666.7037368
8,584.7488,1527.3638,997.5732,0.0,0.0,0.0,-1425.1359,-11991.6047,630.1605,5834.2818,-2842.5568,67.5656388,-3842.6125,-2774.9911611999996,-6617.6036612
9,585.547,1515.8828,1037.4443,0.0,0.0,0.0,-1442.2162,-11883.7609,635.5912,5837.736,-2922.1168,68.25325896,-3713.7757999999985,-2853.8635410399997,-6567.639341039999
10,574.0662,1478.1641,1020.5265,0.0,0.0,0.0,-1406.0677,-11944.8174,656.1442,5798.818,-2878.1772,68.75801928,-3823.1660999999995,-2809.41918072,-6632.58528072
11,556.3284,1516.6433,1023.7726,0.0,0.0,0.0,-1398.9174,-12002.6492,655.79,5889.5869,-2883.96,68.70869856,-3759.4453999999987,-2815.25130144,-6574.696701439999
12,511.3168,1536.4096,999.8538,0.0,0.0,0.0,-1413.3164,-11965.1356,656.7702,5848.8722,-2895.9118,71.090154,-3825.2293999999983,-2824.821646,-6650.051045999998
13,564.2362,1530.3159,1010.9698,0.0,0.0,0.0,-1427.6258,-11943.369,640.0269,5837.1254,-2872.9391,69.21324792,-3788.3206,-2803.72585208,-6592.046452080001
14,584.0579,1504.1046,993.0383,0.0,0.0,0.0,-1413.2319,-11907.711,637.4879,5804.1551,-2880.6292,68.69840904,-3798.0990999999995,-2811.9307909599997,-6610.029890959999
15,530.0954,1556.4045,1014.045,0.0,0.0,0.0,-1398.5839,-11940.1016,669.5591,5868.2861,-2912.5464,70.68868488,-3700.295399999998,-2841.85771512,-6542.153115119998
16,575.1401,1555.306,1019.9896,0.0,0.0,0.0,-1403.8844,-11916.7012,637.0487,5815.2906,-2905.5443,70.07497344000001,-3717.8106000000007,-2835.46932656,-6553.279926560001
17,577.0402,1521.4955,1001.3156,0.0,0.0,0.0,-1414.5465,-12001.6916,641.7611,5866.2917,-2865.0247,68.97233664,-3808.3340000000007,-2796.05236336,-6604.38636336
18,548.559,1536.5523,990.1594,0.0,0.0,0.0,-1436.5497,-11912.3285,652.1875,5815.845,-2876.4527,68.42871,-3805.575,-2808.0239899999997,-6613.5989899999995
19,579.1313,1508.3637,982.385,0.0,0.0,0.0,-1410.948,-11969.8456,647.1888,5832.9414,-2893.9344,69.48211751999999,-3830.7834000000003,-2824.45228248,-6655.23568248
20,524.5422,1493.1249,1038.6302,0.0,0.0,0.0,-1409.5737,-11883.1837,643.4457,5835.2226,-2918.8103,69.76177632,-3757.7918,-2849.04852368,-6606.84032368
21,519.2486,1485.7918,1042.4058,0.0,0.0,0.0,-1428.9902,-11999.3394,642.3878,5838.461,-2848.7549,69.22571976,-3900.0346,-2779.5291802399997,-6679.56378024
22,525.7372,1484.4993,1037.8723,0.0,0.0,0.0,-1418.0346,-11926.277,646.8287,5842.6237,-2942.4916,69.70114871999999,-3806.750399999999,-2872.7904512799996,-6679.540851279999
23,562.9467,1510.4241,989.9828,0.0,0.0,0.0,-1426.9321,-11837.1309,651.0787,5796.3543,-2966.3345,69.21646199999999,-3753.2763999999997,-2897.118038,-6650.394437999999
24,544.9767,1561.7789,991.1724,0.0,0.0,0.0,-1414.9654,-11912.0862,661.5964,5882.8519,-2955.2932,71.42271552,-3684.675299999999,-2883.87048448,-6568.545784479999
25,600.4345,1509.4317,1002.2023,0.0,0.0,0.0,-1377.8658,-11907.9798,667.8951,5803.2324,-2938.2178,72.61958088,-3702.6495999999997,-2865.59821912,-6568.247819119999
26,558.8357,1507.626,1027.8914,0.0,0.0,0.0,-1406.6238,-11933.9384,660.6173,5834.8791,-2887.3008,70.17428664,-3750.7127,-2817.12651336,-6567.83921336
27,582.3189,1513.7145,996.0858,0.0,0.0,0.0,-1433.5452,-12012.8436,631.6651,5837.9379,-2844.9027,69.794694,-3884.6665999999996,-2775.108006,-6659.774605999999
28,603.0011,1501.8293,1031.0732,0.0,0.0,0.0,-1392.5481,-12042.5277,660.7574,5837.8957,-2833.967,69.95043648000001,-3800.5191000000004,-2764.01656352,-6564.5356635200005
29,558.6909,1495.8809,1008.7862,0.0,0.0,0.0,-1393.3339,-12022.664,642.4508,5830.9767,-2826.7057,69.00440976,-3879.2123999999994,-2757.70129024,-6636.913690239999
30,571.9187,1532.8833,1016.4165,0.0,0.0,0.0,-1427.3844,-12026.803,639.7995,5848.85,-2839.2332,70.4975328,-3844.3194000000003,-2768.7356672,-6613.055067200001
31,585.9637,1482.1452,1000.3026,0.0,0.0,0.0,-1403.6245,-11853.9771,630.7528,5787.9831,-2925.2284,71.48840904,-3770.454199999999,-2853.73999096,-6624.194190959999
32,572.1039,1465.625,1003.4637,0.0,0.0,0.0,-1395.3753,-11829.4248,664.3669,5807.253,-2977.6412,71.51442768,-3711.9876000000013,-2906.12677232,-6618.114372320001
33,539.8529,1543.6804,1002.1964,0.0,0.0,0.0,-1345.1783,-11915.9056,631.7819,5840.8616,-2981.4144,71.70969744,-3702.7106999999996,-2909.70470256,-6612.415402559999
34,540.8813,1560.3838,1003.9968,0.0,0.0,0.0,-1390.9769,-11840.1135,616.5924,5799.2702,-2949.4038,70.1735076,-3709.9659,-2879.2302924,-6589.196192400001
35,548.8023,1527.6929,1030.6761,0.0,0.0,0.0,-1411.7783,-11806.0548,650.2153,5816.7947,-2985.2348,71.11941191999999,-3643.6517999999996,-2914.1153880800002,-6557.76718808
36,558.742,1498.5235,1033.2117,0.0,0.0,0.0,-1396.6517,-11916.4062,647.2217,5822.7396,-2912.5073,70.034922,-3752.6193999999987,-2842.4723780000004,-6595.091777999999
37,578.9099,1505.3356,1043.5352,0.0,0.0,0.0,-1415.5085,-11843.7314,633.7962,5804.2497,-2965.1996,68.30269992,-3693.4133,-2896.89690008,-6590.31020008
38,558.5385,1497.7934,1006.2481,0.0,0.0,0.0,-1414.5091,-11787.7367,659.8196,5806.7786,-3025.543,70.07609303999999,-3673.0675999999985,-2955.46690696,-6628.534506959998
39,553.8832,1554.9875,1021.7959,0.0,0.0,0.0,-1403.3118,-11858.9492,649.9495,5835.6524,-2972.4385,69.81163128,-3645.9924999999976,-2902.6268687200004,-6548.6193687199975
40,539.2344,1520.3457,992.4619,0.0,0.0,0.0,-1421.416,-11832.2611,652.6246,5827.118,-2991.6597,68.72085071999999,-3721.8925,-2922.9388492800003,-6644.83134928
41,561.9051,1549.1475,987.5475,0.0,0.0,0.0,-1427.4912,-11773.6524,631.4251,5777.8397,-3003.5199,69.3412128,-3693.278699999999,-2934.1786872,-6627.457387199998
42,545.3841,1533.3708,1007.2096,0.0,0.0,0.0,-1447.4627,-11865.4064,634.6227,5805.9233,-2917.4075,69.71492736,-3786.3585999999996,-2847.69257264,-6634.051172639999
43,570.9906,1555.3383,1008.2722,0.0,0.0,0.0,-1382.4755,-11855.1296,647.8546,5824.63,-2991.937,69.86631168,-3630.5194,-2922.07068832,-6552.59008832
44,572.9892,1546.4389,1034.4565,0.0,0.0,0.0,-1422.1285,-11924.127,639.8773,5784.7869,-2866.2121,69.26569488,-3767.7066999999997,-2796.9464051200002,-6564.653105119999
45,534.8908,1470.7148,1006.6599,0.0,0.0,0.0,-1393.0695,-11964.6797,641.0037,5834.9162,-2858.3764,69.2595756,-3869.5638000000017,-2789.1168244,-6658.680624400002
46,553.1553,1551.5791,1007.926,0.0,0.0,0.0,-1422.6421,-11842.7719,640.7377,5774.2091,-2946.2217,70.13120615999999,-3737.8068000000003,-2876.09049384,-6613.89729384
47,547.5423,1518.9567,1014.4321,0.0,0.0,0.0,-1416.086,-11881.3172,648.4439,5777.8584,-2910.763,68.97752639999999,-3790.1697999999988,-2841.7854736,-6631.955273599999
48,588.3189,1559.7387,1007.5648,0.0,0.0,0.0,-1384.6436,-11830.0791,639.05,5767.7784,-2940.6689,71.83067616,-3652.2719000000006,-2868.83822384,-6521.110123840001
49,511.4115,1518.7217,1021.3366,0.0,0.0,0.0,-1379.0193,-11890.3693,652.1441,5794.7703,-2920.1758,69.944058,-3771.0044,-2850.231742,-6621.236142
50,561.3886,1569.2997,1006.2803,0.0,0.0,0.0,-1422.2103,-11904.8856,638.0312,5823.3777,-2902.7915,69.5366568,-3728.7184000000007,-2833.2548432,-6561.973243200001
51,604.0104,1470.0904,1009.3446,0.0,0.0,0.0,-1399.8614,-11808.9053,649.919,5822.8526,-2970.8761,70.10901288,-3652.5496999999996,-2900.76708712,-6553.316787119999
52,517.2215,1519.8038,976.6326,0.0,0.0,0.0,-1389.7662,-11827.2277,641.7735,5748.8448,-2912.1606,71.81390952,-3812.7177,-2840.3466904800002,-6653.06439048
53,559.6257,1488.1884,1001.8193,0.0,0.0,0.0,-1404.8703,-11813.8408,658.1912,5732.5961,-2931.7191,71.20536408000001,-3778.290400000001,-2860.51373592,-6638.80413592
54,568.8446,1553.3357,1014.5893,0.0,0.0,0.0,-1427.4634,-11807.3976,657.7594,5833.1173,-2970.5165,69.97991112,-3607.2147000000004,-2900.53658888,-6507.75128888
55,556.5783,1503.1232,965.9093,0.0,0.0,0.0,-1408.1047,-11670.9388,631.3331,5759.6199,-3080.4766,72.78747263999999,-3662.4797,-3007.68912736,-6670.16882736
56,570.7766,1504.2597,982.3158,0.0,0.0,0.0,-1412.1008,-11769.0883,632.4062,5782.6714,-2987.6474,71.12898,-3708.7594,-2916.51842,-6625.277819999999
57,567.06,1511.4741,1010.4302,0.0,0.0,0.0,-1395.0731,-11696.5108,653.0433,5759.1817,-3066.4511,71.713764,-3590.3946000000005,-2994.737336,-6585.131936000001
58,566.604,1566.2705,994.5123,0.0,0.0,0.0,-1400.7103,-11732.9256,641.3005,5823.2616,-3084.6165,71.5859244,-3541.6870000000017,-3013.0305756000002,-6554.7175756000015
59,554.1406,1518.1064,1031.1712,0.0,0.0,0.0,-1410.6689,-11766.7378,667.6656,5788.956,-2991.7581,71.91896688,-3617.366900000001,-2919.83913312,-6537.206033120001
60,549.3865,1490.7594,1012.1538,0.0,0.0,0.0,-1374.9166,-11785.3977,622.4842,5785.4085,-3037.6407,71.72676288,-3700.1218999999983,-2965.91393712,-6666.035837119998
61,573.7318,1468.2123,994.2151,0.0,0.0,0.0,-1433.6545,-11748.9285,653.8463,5737.6542,-2976.0577,70.19475983999999,-3754.9233000000013,-2905.8629401599997,-6660.786240160001
62,565.9503,1525.5737,1054.2096,0.0,0.0,0.0,-1414.2414,-11762.9117,638.5769,5786.0718,-3005.3018,70.13663496,-3606.770800000002,-2935.1651650400004,-6541.935965040002
63,570.3685,1534.4513,1034.7834,0.0,0.0,0.0,-1409.3598,-11712.2885,637.5292,5728.511,-3017.5583,70.67289527999999,-3616.004899999998,-2946.88540472,-6562.890304719998
64,565.1157,1457.8309,978.925,0.0,0.0,0.0,-1408.4825,-11729.9717,647.1321,5782.939,-3019.3687,71.50183272,-3706.5115000000005,-2947.86686728,-6654.378367280001
65,572.1039,1512.2849,1007.1556,0.0,0.0,0.0,-1407.3887,-11760.5238,641.7744,5784.1505,-3027.6007,71.96427575999999,-3650.4431999999997,-2955.63642424,-6606.079624239999
66,560.0266,1498.2339,996.0215,0.0,0.0,0.0,-1398.9622,-11748.693,642.3096,5750.8148,-2989.9928,71.48561472,-3700.2487999999994,-2918.50718528,-6618.75598528
67,540.3294,1557.1347,995.7053,0.0,0.0,0.0,-1394.7418,-11733.4146,646.9069,5785.0879,-3028.1835,72.21802104,-3602.992199999999,-2955.96547896,-6558.957678959999
68,583.0672,1547.0255,1045.2558,0.0,0.0,0.0,-1402.5593,-11800.5264,642.504,5785.6751,-2984.6227,70.83170064,-3599.5580999999984,-2913.79099936,-6513.349099359998
69,562.3391,1544.3846,1015.2988,0.0,0.0,0.0,-1387.9718,-11812.8766,646.1156,5827.7695,-3033.1941,71.077788,-3604.9408000000003,-2962.116312,-6567.057112000001
70,552.8956,1555.8865,1015.324,0.0,0.0,0.0,-1389.0456,-11808.7607,632.3745,5810.6624,-2986.9746,70.0614648,-3630.663300000001,-2916.9131352,-6547.5764352000015
71,596.8624,1519.4819,993.6691,0.0,0.0,0.0,-1385.831,-11724.8446,640.3951,5796.7076,-3084.7023,71.22064824,-3563.559500000001,-3013.4816517599997,-6577.041151760001
72,560.4216,1543.0695,997.1324,0.0,0.0,0.0,-1371.2898,-11878.3635,656.5223,5825.8429,-2935.4188,71.34663959999999,-3666.6646,-2864.0721604,-6530.736760399999
73,566.4578,1559.1678,1013.7086,0.0,0.0,0.0,-1375.1529,-11926.1928,659.4581,5842.0537,-2927.8067,71.10246672,-3660.4997000000003,-2856.70423328,-6517.2039332800005
74,601.6815,1501.1563,1005.5878,0.0,0.0,0.0,-1387.112,-11831.2192,645.9912,5822.1698,-3007.406,70.84211400000001,-3641.744599999998,-2936.563886,-6578.308485999998
75,567.3884,1544.35,977.6271,0.0,0.0,0.0,-1387.3567,-11893.0876,639.1594,5839.2709,-2959.0529,71.91819216,-3712.6485000000002,-2887.13470784,-6599.78320784
76,569.9642,1539.1429,1013.1714,0.0,0.0,0.0,-1377.7541,-11943.9999,661.6383,5877.1599,-2934.8642,71.40923856,-3660.6773000000003,-2863.45496144,-6524.132261440001
77,598.0529,1486.6195,993.4125,0.0,0.0,0.0,-1388.0479,-11817.6048,636.84,5808.0863,-3018.1196,71.73028872,-3682.641499999999,-2946.38931128,-6629.0308112799985
78,559.2342,1531.5787,1003.44,0.0,0.0,0.0,-1414.7509,-11907.477,644.4194,5876.8684,-2944.0524,71.8842996,-3706.6871999999994,-2872.1681004,-6578.855300399999
79,599.904,1546.9184,1008.3642,0.0,0.0,0.0,-1393.5497,-11754.2319,651.4592,5773.1356,-3023.1675,72.44843544,-3568.000200000002,-2950.71906456,-6518.719264560002
80,595.7081,1503.953,1006.6555,0.0,0.0,0.0,-1385.9072,-11750.7159,647.9381,5790.1451,-3046.8367,70.90178399999999,-3592.2232999999997,-2975.9349159999997,-6568.158216
81,570.9527,1485.0486,1022.1637,0.0,0.0,0.0,-1397.3365,-11901.9966,625.1309,5871.9372,-2976.8112,70.81900704,-3724.1000000000004,-2905.99219296,-6630.092192960001
82,596.6544,1479.4516,1045.0269,0.0,0.0,0.0,-1410.1147,-11815.3071,646.0195,5796.6703,-2986.0214,70.99993223999999,-3661.5990999999995,-2915.02146776,-6576.620567759999
83,584.7962,1540.3569,1010.0455,0.0,0.0,0.0,-1415.7961,-11814.1221,628.349,5803.1548,-2952.4882,69.85944936,-3663.2158,-2882.62875064,-6545.844550639999
84,551.9185,1476.0448,1007.7688,0.0,0.0,0.0,-1380.7537,-11956.104,648.1377,5846.3288,-2869.7533,69.97678343999999,-3806.6591,-2799.77651656,-6606.435616559999
85,594.6952,1522.1405,1045.9677,0.0,0.0,0.0,-1385.7478,-11779.249,635.5823,5780.7773,-2988.9007,71.37952272,-3585.8338000000003,-2917.5211772800003,-6503.354977280001
86,550.3729,1544.9481,1017.9272,0.0,0.0,0.0,-1422.5889,-11700.9045,639.7178,5770.4345,-3041.326,72.07080264,-3600.0929000000006,-2969.2551973600002,-6569.348097360001
87,559.2636,1505.358,1000.2316,0.0,0.0,0.0,-1375.1835,-11863.6852,645.1842,5791.1215,-2936.284,70.18686432,-3737.7097999999996,-2866.09713568,-6603.806935680001
88,545.2807,1472.5539,1021.2502,0.0,0.0,0.0,-1390.2954,-11889.2905,636.4677,5815.3798,-2925.9416,69.87197520000001,-3788.6536000000006,-2856.0696248,-6644.723224800001
89,521.1321,1546.021,1021.8838,0.0,0.0,0.0,-1412.7636,-11788.3778,653.7346,5756.3164,-2957.6911,69.72597071999999,-3702.0535,-2887.96512928,-6590.01862928
90,567.1682,1523.4953,1037.5058,0.0,0.0,0.0,-1387.9546,-11820.1133,647.3317,5850.5353,-3042.8405,72.42033528,-3582.0316000000003,-2970.42016472,-6552.451764720001
91,541.0091,1521.7637,1008.8786,0.0,0.0,0.0,-1392.7946,-11830.4363,651.5287,5830.5784,-2939.3548,71.57404656,-3669.4723999999987,-2867.78075344,-6537.253153439999
92,567.5605,1492.0275,1009.3851,0.0,0.0,0.0,-1403.9853,-11819.363,641.6007,5814.9909,-2982.1917,71.43310368,-3697.7835999999998,-2910.75859632,-6608.54219632
93,568.1339,1477.6324,1024.3894,0.0,0.0,0.0,-1409.2336,-11848.3684,645.792,5801.339,-2917.8956,70.70635728,-3740.3153,-2847.18924272,-6587.50454272
94,523.1087,1525.4608,1012.565,0.0,0.0,0.0,-1378.9563,-11917.0975,641.9163,5900.0221,-2945.3293,72.87425136,-3692.9808999999987,-2872.45504864,-6565.435948639998
95,599.4615,1482.2927,1034.1616,0.0,0.0,0.0,-1388.6115,-11863.345,648.1728,5858.5164,-2992.2774,74.00992679999999,-3629.351499999999,-2918.2674732,-6547.618973199998
96,570.9909,1551.1145,1016.4985,0.0,0.0,0.0,-1376.2392,-11940.9193,647.4912,5892.9916,-2933.0654,69.51115727999999,-3638.071799999999,-2863.55424272,-6501.6260427199995
97,540.0843,1496.19,985.0195,0.0,0.0,0.0,-1404.7476,-11782.7191,642.9414,5818.8869,-2981.1944,71.88439319999999,-3704.3445999999994,-2909.3100068,-6613.654606799999
98,557.1132,1443.7617,1015.4457,0.0,0.0,0.0,-1421.8045,-11818.0193,649.1252,5824.9613,-2980.3024,72.04034088,-3749.416699999999,-2908.2620591200002,-6657.678759119998
99,559.8992,1528.3144,989.6948,0.0,0.0,0.0,-1404.7476,-11826.8637,625.6543,5763.2076,-2916.9099,70.97364071999999,-3764.8410000000003,-2845.9362592800003,-6610.777259280001
100,555.2842,1518.4011,978.7219,0.0,0.0,0.0,-1354.7315,-11898.8373,658.0387,5835.9173,-2918.4791,71.07437447999999,-3707.2056000000002,-2847.40472552,-6554.61032552
101,533.5542,1552.6673,1000.4194,0.0,0.0,0.0,-1399.6469,-11858.3011,644.388,5814.128,-2893.071,71.06500008,-3712.7910999999995,-2822.00599992,-6534.79709992
102,545.4266,1545.6006,1010.7218,0.0,0.0,0.0,-1417.2725,-11883.1126,643.2425,5751.7662,-2857.2439,71.90903376,-3803.6273999999994,-2785.33486624,-6588.962266239999
103,584.9102,1541.5214,1003.215,0.0,0.0,0.0,-1428.285,-11821.8309,643.0578,5736.0712,-2875.7217,71.03231496,-3741.3403,-2804.68938504,-6546.02968504
104,564.7893,1539.7122,1010.9717,0.0,0.0,0.0,-1412.2931,-11775.3598,652.7828,5761.0285,-2949.2182,73.26605592,-3658.3683999999994,-2875.95214408,-6534.320544079998
105,575.0153,1566.5658,1016.5263,0.0,0.0,0.0,-1411.6462,-11773.1467,625.9616,5732.3353,-2938.0813,71.81238959999999,-3668.3885999999993,-2866.2689103999996,-6534.657510399999
106,534.4579,1584.458,1022.5385,0.0,0.0,0.0,-1395.3091,-11885.1027,655.6543,5830.7296,-2909.0601,71.56869768,-3652.5734999999995,-2837.4914023200004,-6490.064902319999
107,538.5646,1477.3124,1016.5562,0.0,0.0,0.0,-1417.5209,-11807.9827,650.5744,5757.4318,-2917.4246,71.3754324,-3785.0642000000007,-2846.0491675999997,-6631.113367600001
108,560.8939,1551.1789,1004.8149,0.0,0.0,0.0,-1396.0692,-11862.113,654.5184,5812.4906,-2933.8869,71.41095071999999,-3674.285499999999,-2862.47594928,-6536.761449279999
109,579.3225,1481.1477,1014.7726,0.0,0.0,0.0,-1382.7257,-11769.5276,645.3906,5746.6783,-2965.7653,72.89004168000001,-3684.9416,-2892.87525832,-6577.81685832
110,548.8294,1526.4531,1011.976,0.0,0.0,0.0,-1387.0618,-11863.9611,649.6566,5767.0534,-2882.4101,72.01476287999999,-3747.0544,-2810.39533712,-6557.4497371200005
111,570.3945,1500.4876,1005.7009,0.0,0.0,0.0,-1420.5658,-11836.4915,648.033,5782.5254,-2907.3115,71.2497312,-3749.9159,-2836.0617687999998,-6585.9776688
112,568.9116,1551.3273,1012.2724,0.0,0.0,0.0,-1446.4964,-11748.2771,634.4571,5730.7959,-2956.0237,70.32702384,-3697.0091999999995,-2885.69667616,-6582.70587616
