GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,563.8556,1531.7568,1031.3647,0.0,0.0,0.0,-1430.8361,-11859.2964,645.9497,5871.4299,-2876.6492,70.01371512,-3645.7758000000003,-2806.6354848799997,-6452.4112848800005
1,613.6784,1531.213,989.9171,0.0,0.0,0.0,-1404.4301,-12017.914,658.6215,5898.0927,-2776.2668,69.31567295999999,-3730.8214000000016,-2706.95112704,-6437.772527040002
2,559.3907,1460.2296,988.4158,0.0,0.0,0.0,-1416.3599,-11917.1303,641.2859,5941.09,-2880.2003,70.37942831999999,-3743.0782,-2809.82087168,-6552.89907168
3,567.9375,1446.285,985.6038,0.0,0.0,0.0,-1418.3269,-11924.0242,637.0066,5887.6345,-2841.5753,71.34277392,-3817.8836999999985,-2770.23252608,-6588.116226079999
4,554.7548,1517.3578,996.6484,0.0,0.0,0.0,-1446.4948,-11934.1663,635.9171,5931.517,-2834.041,69.65311248,-3744.4660000000003,-2764.3878875200003,-6508.85388752
5,577.5616,1529.3869,996.1963,0.0,0.0,0.0,-1428.0618,-11864.0332,636.77,5889.075,-2877.7091,71.60242896,-3663.105199999999,-2806.10667104,-6469.211871039999
6,576.04,1539.1098,985.9344,0.0,0.0,0.0,-1412.7149,-11912.7955,656.7104,5904.9406,-2864.3009,72.72423504,-3662.7752,-2791.57666496,-6454.35186496
7,555.0204,1501.6013,977.3103,0.0,0.0,0.0,-1408.1284,-11908.6368,662.3298,5851.324,-2806.4288,70.05448224,-3769.179400000002,-2736.37431776,-6505.553717760003
8,578.6041,1527.903,997.5134,0.0,0.0,0.0,-1377.7394,-11906.8866,645.2633,5819.5543,-2833.815,72.00767160000001,-3715.7878999999994,-2761.8073284,-6477.5952283999995
9,568.9884,1457.5998,991.7423,0.0,0.0,0.0,-1407.1733,-11833.5941,643.1726,5872.3685,-2907.3469,71.66373191999999,-3706.895800000001,-2835.68316808,-6542.578968080001
10,571.5393,1489.0786,982.277,0.0,0.0,0.0,-1429.653,-11906.6884,637.6948,5887.9272,-2835.1789,69.52322303999999,-3767.824499999999,-2765.6556769599997,-6533.480176959999
11,559.2061,1512.9601,986.4944,0.0,0.0,0.0,-1424.0583,-11896.7782,654.3241,5878.1743,-2853.7426,69.15662208,-3729.6775000000007,-2784.58597792,-6514.263477920002
12,590.5255,1497.4656,1014.992,0.0,0.0,0.0,-1430.9059,-11853.5935,642.1599,5869.4569,-2932.6542,72.44534016,-3669.8995000000004,-2860.20885984,-6530.10835984
13,578.4866,1534.7901,983.8415,0.0,0.0,0.0,-1430.8492,-11880.2367,639.8248,5854.8629,-2843.6571,70.97837976,-3719.279999999999,-2772.67872024,-6491.958720239999
14,544.782,1565.0633,970.3178,0.0,0.0,0.0,-1433.3486,-11826.2447,626.3639,5865.6858,-2916.5095,70.39086336,-3687.3804999999984,-2846.11863664,-6533.499136639998
15,607.5727,1556.3372,1015.6381,0.0,0.0,0.0,-1441.0803,-11889.8345,637.2215,5886.5809,-2861.5223,69.71350464000001,-3627.5644,-2791.80879536,-6419.37319536
16,518.502,1506.5744,964.5305,0.0,0.0,0.0,-1410.5645,-11800.4529,636.4738,5911.1048,-2990.1406,72.33765696,-3673.8319,-2917.80294304,-6591.634843039999
17,545.3693,1513.9598,996.4522,0.0,0.0,0.0,-1434.9014,-11796.3877,663.6828,5892.4056,-2935.1727,69.82244711999999,-3619.419399999999,-2865.35025288,-6484.769652879999
18,573.9751,1541.5262,1014.7506,0.0,0.0,0.0,-1461.5145,-11802.4477,639.7517,5855.9164,-2903.7106,68.7540348,-3638.0422,-2834.9565652,-6472.9987652
19,548.9576,1484.7914,1008.8064,0.0,0.0,0.0,-1449.0606,-11849.3647,644.523,5859.1786,-2896.0176,69.01239816,-3752.1683000000003,-2827.00520184,-6579.17350184
20,585.7803,1558.3366,998.2562,0.0,0.0,0.0,-1413.8002,-11896.9076,653.9601,5918.8862,-2909.469,71.62087248,-3595.488400000001,-2837.84812752,-6433.336527520001
21,565.9746,1524.5713,994.8324,0.0,0.0,0.0,-1418.8844,-11845.6986,652.6675,5877.0934,-2897.75,70.3934712,-3649.443799999999,-2827.3565288,-6476.800328799999
22,569.6833,1539.9057,986.9228,0.0,0.0,0.0,-1450.352,-11772.3529,636.7958,5828.8362,-2942.1796,72.32199048,-3660.561100000001,-2869.85760952,-6530.41870952
23,550.7938,1496.83,981.0845,0.0,0.0,0.0,-1438.9231,-11803.4178,648.3791,5860.1134,-2931.8251,71.5260672,-3705.1400999999987,-2860.2990328,-6565.439132799998
24,586.887,1519.1441,991.3405,0.0,0.0,0.0,-1432.3752,-11770.0862,637.3906,5935.6237,-3005.2965,71.69518512,-3532.075499999999,-2933.60131488,-6465.676814879999
25,541.8264,1536.2398,990.2682,0.0,0.0,0.0,-1423.1963,-11819.4014,641.8872,5873.2923,-2931.7164,70.51433399999999,-3659.0838000000012,-2861.202066,-6520.285866000001
26,591.5023,1455.6824,1003.0387,0.0,0.0,0.0,-1404.145,-11704.9896,647.4108,5856.836,-3022.9208,71.72547696000001,-3554.6644000000006,-2951.19532304,-6505.85972304
27,580.1794,1488.1258,988.5221,0.0,0.0,0.0,-1397.9978,-11747.2096,635.9769,5825.757,-2974.8327,73.68671808,-3626.646200000001,-2901.14598192,-6527.792181920001
28,587.3586,1511.8971,956.1078,0.0,0.0,0.0,-1439.876,-11664.6146,631.8452,5829.148,-2977.1251,71.6620248,-3588.1339000000016,-2905.4630752000003,-6493.596975200002
29,605.5702,1487.1391,983.3039,0.0,0.0,0.0,-1434.7962,-11759.5327,641.5892,5842.3222,-2956.3414,71.71571879999999,-3634.4042999999992,-2884.6256811999997,-6519.029981199999
30,577.3216,1482.737,974.3528,0.0,0.0,0.0,-1423.7758,-11801.4357,631.9317,5872.1216,-2920.5283,72.16246152,-3686.746800000001,-2848.36583848,-6535.112638480001
31,532.8134,1451.1755,1007.6814,0.0,0.0,0.0,-1416.7024,-11781.321,651.6127,5893.4037,-2972.9723,72.34302815999999,-3661.3367000000007,-2900.62927184,-6561.965971840001
32,580.865,1492.7681,974.6971,0.0,0.0,0.0,-1421.4268,-11728.0579,629.4489,5869.6416,-3014.617,73.20880296,-3602.064000000001,-2941.4081970400002,-6543.472197040001
33,579.5263,1564.2685,998.4223,0.0,0.0,0.0,-1425.148,-11664.6293,629.9498,5831.2471,-3058.6476,71.74871208,-3486.3633,-2986.8988879199997,-6473.26218792
34,548.7111,1522.2401,985.4794,0.0,0.0,0.0,-1426.3473,-11725.7597,644.4002,5917.6795,-3009.6171,73.097748,-3533.5967,-2936.519352,-6470.116051999999
35,551.149,1502.7078,996.4387,0.0,0.0,0.0,-1453.8892,-11713.7971,641.0901,5866.351,-3013.6539,71.50970304,-3609.9497,-2942.1441969599996,-6552.09389696
36,535.1901,1517.5237,966.4925,0.0,0.0,0.0,-1424.9766,-11775.8893,651.3847,5886.3115,-2963.5833,72.58881600000001,-3643.9634000000005,-2890.994484,-6534.957884
37,554.4274,1464.5604,976.3469,0.0,0.0,0.0,-1419.7578,-11811.0737,664.7714,5907.4689,-2956.3615,73.03970664,-3663.2565000000013,-2883.32179336,-6546.578293360001
38,549.9906,1473.2074,967.0726,0.0,0.0,0.0,-1433.5368,-11684.9233,633.1474,5873.2422,-3016.5224,72.56750616,-3621.799900000001,-2943.95489384,-6565.75479384
39,555.0612,1561.584,992.6288,0.0,0.0,0.0,-1405.7387,-11669.4216,630.8103,5811.3089,-3034.0798,73.72854072,-3523.767100000001,-2960.35125928,-6484.118359280001
40,570.1429,1522.3512,1011.8947,0.0,0.0,0.0,-1403.9755,-11738.3848,651.6205,5861.3616,-2978.7592,73.02226968000001,-3524.9893999999986,-2905.73693032,-6430.726330319999
41,559.5696,1494.5442,985.3953,0.0,0.0,0.0,-1433.44,-11716.7436,634.89,5844.0368,-2966.9368,71.78849856,-3631.7477,-2895.14830144,-6526.896001439999
