name,hit,heavy_atoms,mw,length_A
"Alpha-Estradiol",1,20,272.4,10.389646633913108
"Boldenone",1,21,286.4,10.605757943842862
"Dehydroandrographolide",1,24,332.4,11.568294876744714
"Desogestrel",1,23,310.5,9.723175866019641
"Estradiol",1,20,272.4,10.95760506578664
"Estradiol Methyl Ether",1,21,286.4,11.79510291768506
"Ethinyl Estradiol",1,22,296.4,10.712850893259807
"Ethisterone",1,23,312.5,10.956073992575787
"Lynestrenol",1,21,284.4,9.394045052768325
"Mestranol",1,23,310.4,11.842894490915567
"Methandrostenolone",1,22,300.4,10.669437287615166
"Norethindrone",1,22,298.4,10.591604305586863
"Norethindrone Acetate",1,25,340.5,12.617070421182044
"S-(+)-Ketoprofen",1,19,254.3,10.578336136480958
"Ketoprofen",1,19,254.3,8.192414545781475
"Pranoprofen",1,19,255.3,9.90560861142012
"Tolmetin",1,19,257.3,9.208890110201553
"Tolmetin Sodium",1,19,257.3,9.208890110201553
"Zaltoprofen",1,21,298.4,9.562014048461675
"Dexmedetomidine HCl",1,15,200.3,6.947147334227447
"Dexmedetomidine",1,15,200.3,6.947147334227447
"Etomidate hydrochloride",1,18,244.3,7.8807361446875515
"Etomidate",1,18,244.3,7.8807361446875515
"Medetomidine HCl",1,15,200.3,6.723275477703012
"Capsaicin(Vanilloid)",1,22,305.4,15.255198248114826
"Dihydrocapsaicin",1,22,307.4,12.76099293172559
"Moguisteine",1,23,339.4,8.983432820797146
"Nonivamide",1,21,293.4,9.79332649246657
"Olanexidine Hydrochloride semihydrate",1,24,372.3,13.261618584992577
"Ramelteon",1,19,259.3,10.462681111755169
"S- (+)-Rolipram",1,20,275.3,11.009783829542355
"Zucapsaicin",1,22,305.4,14.462445576752842
"Alachlor",1,18,269.8,7.2477572947667825
"Clomazone",1,16,239.7,7.66255262038993
"Crotamiton",1,15,203.3,6.883693412603514
"Amiprofos Methyl",1,19,304.3,8.67208544289526
"Carbimazole",1,12,186.2,7.587260960273761
"DEET",1,14,191.3,7.987732178717118
"DEET",1,14,191.3,7.987732178717118
"Cycloate",1,14,215.4,7.361791463532179
"Ethoprop",1,13,242.3,7.751846488435711
"Thioctic acid",1,12,206.3,6.821866432904893
"Valproic acid",1,10,144.2,5.237089019918463
"Valproic acid sodium salt (Sodium valproate)",1,10,144.2,5.237089019918463
"Divalproex Sodium",1,10,144.2,5.237089019918463
"Acetamiprid",1,15,222.7,8.663441627072201
"Amitraz",1,22,293.4,13.698582442542351
"Istradefylline",1,28,384.4,15.091801521284978
"Picoxystrobin",1,26,367.3,10.525837544831433
"Pyraclostrobin",1,27,387.8,14.15779461833504
"Voxelotor(GBT440, GTx011)",1,25,337.4,10.83348085354009
"Amsacrine Hydrochloride",1,28,393.5,11.37152664553733
"Mebendazole",1,22,295.3,13.845254523112386
"Phenmedipham",1,22,300.3,14.454125661937926
"Diclofenac Sodium",1,19,296.2,7.848087565081286
"Diclofenac Epolamine",1,19,296.2,7.848087565081286
"Flamprop-methyl",1,22,321.7,8.270085652521335
"Lonidamine",1,21,321.2,9.59948117706511
"Niclosamide",1,21,327.1,12.637708235210672
"Chlorobenzilat",1,21,325.2,10.133634259424683
"Dimoxystrobin",1,24,326.4,9.502718246713087
"Carpropamid",1,20,334.7,10.985318099501866
"Flufenacet",1,24,363.3,14.211206516718047
"Trinexapac-ethyl",1,18,252.3,9.945482098609597
"Malotilate",1,18,288.4,8.094108504686126
"Nilvadipine",1,28,385.4,9.541792293727925
"Nimodipine",1,30,418.4,9.522970185036408
"Nitrendipine",1,26,360.4,9.382235724122776
"Budesonide",1,31,430.5,14.211350948783398
"Chlormadinone acetate",1,28,404.9,12.403696172034088
"Cyproterone Acetate",1,29,416.9,12.198446223925766
"Diflucortolone valerate",1,34,478.6,14.150583645005465
"Gedunin",1,35,482.6,11.390534887854654
"Medroxyprogesterone",1,25,344.5,11.426123213296549
"Medroxyprogesterone acetate",1,28,386.5,11.633152166844178
"Megestrol Acetate",1,28,384.5,12.415072039619234
"Allopregnanolone",1,23,318.5,12.58515026563603
"Formestane",1,22,302.4,9.823954648941173
"Mesterolone",1,22,304.5,10.9709901045798
"Dehydroepiandrosterone (DHEA)",1,21,288.4,11.003376761559016
"Sclareol",1,22,308.5,9.674789496135862
"Vildagliptin (LAF-237)",1,22,303.4,10.741330445535873
"Butylparaben",1,14,194.2,8.918538234577099
"Dibutyl phthalate",1,20,278.3,8.552902070133493
"Ethylparaben",1,12,166.2,8.334255437071912
"Eugenol",1,12,164.2,7.356893852602856
"Methyl 4-hydroxybenzoate",1,11,152.1,7.700989832193125
"Orsellinic Acid, Ethyl Ester",1,14,196.2,8.265177403818763
"Propylparaben",1,13,180.2,8.506470198998032
"3-n-Butylphathlide",1,14,190.2,7.510025243795475
"Thioxolone",1,11,168.2,6.998027255173838
"Tioxolone",1,11,168.2,6.998027255173838
"Flufenamic acid",1,20,281.2,9.747229831028625
"Flunixin Meglumin",1,21,296.2,8.396713406252301
"Mefenamic Acid",1,18,241.3,9.128232723774856
"Cyclandelate",1,20,276.4,8.115970283131329
"2-Hydroxy-9-Fluorenone",1,15,196.2,8.21928315192501
"2-Hydroxybenzophenone (10x)",1,15,198.2,7.5732983947390835
"2-Hydroxychalcone",1,17,224.3,9.204768127607823
"3-Phenylphenol",1,13,170.2,7.504093050878183
"4-Hydroxybenzophenone",1,15,198.2,8.819916108711698
"Phenazine methosulfate",1,15,195.2,7.334245732498985
"6-Benzoyl-2-Naphthol",1,19,248.3,11.172327001149583
"Anthracene-9-Carboxylic Acid",1,17,222.2,7.500148879604042
"Anthrone",1,15,194.2,7.539102739698851
"Benzophenone",1,14,182.2,7.551660686318996
"2-Naphthol",1,11,144.2,6.391621909851739
