name,hit,heavy_atoms,mw,length_A,npr1,npr2,asphericity,shape_class
"Alpha-Estradiol",1,20,272.4,10.39,0.155,0.907,0.607,ROD
"Boldenone",1,21,286.4,10.61,0.185,0.924,0.547,ROD
"Dehydroandrographolide",1,24,332.4,11.57,0.156,0.943,0.606,ROD
"Desogestrel",1,23,310.5,9.72,0.283,0.912,0.381,ROD
"Estradiol",1,20,272.4,10.96,0.143,0.895,0.632,ROD
"Estradiol Methyl Ether",1,21,286.4,11.80,0.125,0.910,0.670,ROD
"Ethinyl Estradiol",1,22,296.4,10.71,0.180,0.938,0.558,ROD
"Ethisterone",1,23,312.5,10.96,0.189,0.948,0.542,ROD
"Lynestrenol",1,21,284.4,9.39,0.238,0.935,0.453,ROD
"Mestranol",1,23,310.4,11.84,0.137,0.947,0.646,ROD
"Methandrostenolone",1,22,300.4,10.67,0.192,0.946,0.536,ROD
"Norethindrone",1,22,298.4,10.59,0.206,0.938,0.509,ROD
"Norethindrone Acetate",1,25,340.5,12.62,0.158,0.969,0.604,ROD
"S-(+)-Ketoprofen",1,19,254.3,10.58,0.157,0.973,0.606,ROD
"Ketoprofen",1,19,254.3,8.19,0.366,0.736,0.276,DISC
"Pranoprofen",1,19,255.3,9.91,0.147,0.928,0.625,ROD
"Tolmetin",1,19,257.3,9.21,0.300,0.769,0.356,ROD
"Tolmetin Sodium",1,19,257.3,9.21,0.300,0.769,0.356,ROD
"Zaltoprofen",1,21,298.4,9.56,0.303,0.919,0.353,ROD
"Dexmedetomidine HCl",1,15,200.3,6.95,0.330,0.968,0.324,ROD
"Dexmedetomidine",1,15,200.3,6.95,0.330,0.968,0.324,ROD
"Etomidate hydrochloride",1,18,244.3,7.88,0.416,0.752,0.219,DISC
"Etomidate",1,18,244.3,7.88,0.416,0.752,0.219,DISC
"Medetomidine HCl",1,15,200.3,6.72,0.343,0.883,0.298,ROD
"Capsaicin(Vanilloid)",1,22,305.4,15.26,0.096,0.993,0.744,ROD
"Dihydrocapsaicin",1,22,307.4,12.76,0.152,0.910,0.612,ROD
"Moguisteine",1,23,339.4,8.98,0.467,0.782,0.170,DISC
"Nonivamide",1,21,293.4,9.79,0.365,0.815,0.269,DISC
"Olanexidine Hydrochloride semihydrate",1,24,372.3,13.26,0.212,0.927,0.497,ROD
"Ramelteon",1,19,259.3,10.46,0.189,0.915,0.538,ROD
"S- (+)-Rolipram",1,20,275.3,11.01,0.198,0.859,0.521,ROD
