comp,entry,mw_bin,mw,n_heavy,n_rot,length,buried,head,mid,tail,null_gap
014,3OUH,250-320,280.646,19,2,11.556884070389945,0.8614955464398298,0.9924415839042389,0.9867844587360765,0.69254753610733,0.17144059802314587
018,3H7W,250-320,302.277,20,4,9.591409321688946,1.0,1.0,1.0,1.0,0.0
01I,3MA3,250-320,296.23400000000004,22,2,12.562987633839185,0.775246556188228,0.87504609727042,0.9139784946236559,0.5650999977333344,0.14583897853490738
01S,1JAQ,250-320,302.33100000000013,21,8,10.462411422394881,0.7732044592291101,0.9556667137938362,0.8750134332932971,0.4556066966769511,0.12810001664286208
01W,3DS9,250-320,284.22799999999995,19,7,8.875600383350957,0.7029363394484773,0.9028176040620507,0.619086396945693,0.5476915589459357,0.1966225640530205
020,3H82,250-320,286.20899999999995,20,4,9.149803454976958,1.0,1.0,1.0,1.0,0.0
028,2Z50,250-320,276.162,16,7,9.06130318179584,0.7919591634646037,0.8425196850393701,0.6583413703319689,0.7808702500355003,0.1047420114392608
03K,4EK5,250-320,270.29200000000003,20,4,12.533817573337839,0.803677944617625,0.9303452837197503,0.8763207213270747,0.5913423355241936,0.16006248822492458
041,1X7B,250-320,271.247,20,2,11.543762823831191,0.9951293015815847,1.0,0.9412906807852376,1.0,0.010259156997828905
043,3SAZ,250-320,271.06600000000003,15,4,9.751652266781775,0.9874762555424497,0.9924614860661625,1.0,0.9774225553570443,0.017376243570366438
05D,7N3M,250-320,313.40500000000003,23,3,10.3179356959796,0.8788346079027965,0.9246209508976871,0.7692307692307692,0.8904158645781034,0.0902365183930968
05E,7WLD,250-320,303.204,18,6,10.012053792938207,0.3561166288323192,0.7139345395726289,0.37014290154335483,0.0972914761435052,0.19171028075162294
05Q,7OOZ,250-320,260.684,18,3,8.46619893147589,0.8898829689781704,0.8932713655332517,0.9212252788981704,0.860655737704918,0.06552311622737586
05Y,7OPR,250-320,294.358,22,5,9.001374923453872,0.7086099806112052,0.797353903955058,0.6837690251674828,0.6333333333333333,0.18114453325926383
05Z,7OOY,250-320,276.75200000000007,18,3,10.157776221164262,0.7525713053285862,0.9304094160550465,0.9357663257803623,0.4402985074626865,0.20949438812760093
068,2WO9,250-320,312.36499999999995,23,7,14.153942395452956,0.923304444583898,0.94492928316984,1.0,0.860219120049305,0.03454803007095556
06B,4K4Q,250-320,261.07099999999997,14,3,6.93655797077138,0.4997847625576006,0.5414863151572644,0.5593988277777384,0.29924845251861076,0.3155228698426978
06N,7OPG,250-320,274.349,19,4,9.078960843717097,0.9173256007335976,0.9530803102569086,0.9883306871962382,0.8522452457294046,0.10629000429799958
06R,4UI3,250-320,290.244,21,1,11.221420084350882,0.9487775362984163,0.9877414494377522,0.9860961406300864,0.8848494930911653,0.06300476880782538
06Z,3RJC,250-320,313.35699999999997,22,4,11.708671845173837,0.8609663280706807,0.9315092796170058,0.9755442735173239,0.6807394450220696,0.12719213948452016
077,2WO8,250-320,270.328,20,6,11.996797746690781,0.8865820458545378,0.8955223880597015,1.0,0.8242496541864329,0.05347183154147041
07C,7OPS,250-320,272.28900000000004,19,2,8.911011388215842,0.9296284978323318,1.0,0.9470319132987136,0.8447581795022908,0.06000529148477167
07O,3U19,250-320,253.323,16,5,10.400905992601782,0.9370397501973267,0.9922719085161236,0.9823391584173182,0.8809523809523809,0.04329416412558551
07U,3TXO,250-320,293.374,22,4,8.986354720869604,0.9205838588446718,1.0,0.9026448487120197,0.8736073552499439,0.09305865810476724
07Y,7EXU,250-320,271.22499999999997,19,4,9.167760418011277,0.929955472637107,0.9942988914986726,1.0,0.7896357615801137,0.09824872553389101
08C,4BU9,250-320,252.273,19,2,11.221225720674365,0.9287381307090694,0.9877329714240782,0.985490945051295,0.8149045684305042,0.07437369759034528
08D,3TZF,250-320,253.28300000000002,17,3,9.253395395990117,0.7281339277376708,0.9076630024368424,0.966955999837829,0.3689375114595793,0.2738804757955994
08G,7OPM,250-320,311.34499999999997,23,4,11.671401982478582,0.8735971212920168,0.9796641731825252,0.8833854916164174,0.7805017320796377,0.11639587363492851
08H,3U5J,250-320,308.77200000000005,22,1,8.157824960964573,0.7657600175366832,0.9441325355312132,0.6166951682559926,0.6230769230769231,0.1334502174043771
08U,7EXV,250-320,270.079,13,3,6.833091196281096,0.956537102294433,0.9575637658852881,0.9678165744037891,0.9507389878138321,0.04257447717972429
095,3UDK,250-320,316.357,23,2,11.067598403901744,0.7989645355455977,0.7965304401683263,0.8473319667664635,0.7574940887606965,0.10212101464522294
09Q,3U8L,250-320,253.34900000000002,19,2,9.381745125931818,0.9385654360543002,0.9736544059819028,0.97618544467383,0.8794326241134751,0.04640505344914208
09X,7EXW,250-320,270.079,13,3,6.598719954188153,0.8293499501399144,0.9352392744816532,0.9008869352268986,0.6509730530834058,0.16484574465024887
09Z,3RK9,250-320,262.33799999999997,18,4,9.593716871047754,0.8897171103953857,0.89146447792847,0.9697735599824368,0.8489994661200498,0.11054257322122465
0B4,3WB5,250-320,257.337,19,2,7.680580855522599,0.7163043576778446,0.7284477091795594,0.9743589743589743,0.6147540983606558,0.1663949860122827
0BJ,7F0Y,250-320,302.282,22,3,8.789060780073848,0.9470964988184015,0.982447014092801,0.8861581703998499,0.977108582971263,0.06976688079165197
0BX,3UNJ,250-320,306.32500000000005,23,5,13.172702879392606,0.8814458616097302,0.9229638111685736,1.0,0.7701943668375695,0.08117333423425413
0CH,3UV6,250-320,250.08,14,7,6.537257452144555,0.9628194321776317,1.0,1.0,0.8819189890532502,0.04815020659723042
0CJ,3UTD,250-320,262.091,15,7,7.202474007731226,0.955044469019511,1.0,0.9397650020245478,0.897677306807089,0.054370992726696175
0CP,3KKT,250-320,316.401,23,4,10.349941901322962,0.9234452699614448,1.0,0.9433962264150944,0.7919636171838333,0.1017125114087869
0CV,3UUO,250-320,311.38900000000007,23,2,7.767944696525588,0.7592047621238646,0.8302061975318193,0.9435528769492716,0.6278081808634711,0.15816209047608587
0D1,3UUC,250-320,281.138,18,2,9.42387081539123,0.965766559618337,1.0,1.0,0.9213042092665016,0.0732292288139816
0DJ,3UWO,250-320,268.276,20,2,11.720558735206229,0.9797608920965912,1.0,1.0,0.9514373388598143,0.023423198862862857
0E0,5C5P,250-320,273.332,20,2,10.749152649045806,0.9379786690746581,0.9869602301946793,1.0,0.8464610708814195,0.09238776689925224
0ER,7F11,250-320,318.281,23,3,8.933508529940582,0.9746800996376628,0.9837469049777429,0.9935067684536659,0.9464824992123929,0.021227562381121952
0F3,3V5G,250-320,251.289,15,3,8.958327247482945,0.7659183368754043,0.9932010157108296,0.9365079365079365,0.4369030892253124,0.23367798084476082
0FS,3VC4,250-320,273.235,18,1,8.600927518318688,0.892097502267351,0.9758356036578747,0.6981132075471699,0.8775696546005918,0.08214094720063096
0FZ,3VBD,250-320,316.38200000000006,22,3,12.417348022935322,0.7053219359810461,0.9799082259611646,0.6986394213747409,0.4347151016215922,0.16161544242105355
0GW,7N5X,250-320,256.265,19,3,9.566080330231436,0.7966247557699407,0.9700258108681191,0.7273026699164415,0.6984594433288933,0.12938930869432447
0H5,3VEY,250-320,255.28100000000003,19,3,10.47769008590518,0.8995732294515367,0.9567517316665788,1.0,0.7944117488256573,0.11939536348909
0HD,3V8S,250-320,280.3310000000001,21,4,12.05913531065809,0.8621705154754475,0.9938197667781917,0.8104195504805475,0.7613636363636364,0.07573373086611494
0HV,4DBS,250-320,308.29300000000006,23,4,10.748153629394892,0.857958649452637,0.9304267425246497,0.5738925773702884,0.821645604052256,0.062435560571444906
0HX,4D8S,250-320,287.312,20,6,8.314278204606612,0.8610314899570731,0.9664066480342607,0.8981696531208798,0.7776351385594574,0.09420384532833052
0HY,4D8A,250-320,279.25600000000003,20,3,9.373037020093763,0.747067586025751,1.0,0.9629450427345053,0.4428724235074578,0.20998176614869304
0HZ,1O6I,250-320,254.31399999999996,18,4,10.608851988790182,0.7140413146109452,0.9944443741078697,0.5474852844558264,0.3917361489508261,0.17829648337082293
0IM,7ORZ,250-320,256.183,18,2,8.668532199506824,0.6990626409564249,0.8174603174603174,0.6453461091676777,0.6158199617711004,0.1177500988797032
0J2,4D8Z,250-320,265.229,19,3,8.708319371332056,0.741474768136949,1.0,1.0,0.4304368390635913,0.21422536248304974
0J4,4DAF,250-320,251.202,18,2,9.110043667926076,0.8134475472043696,1.0,0.9565164122375033,0.582339012924515,0.15663495413540635
0J6,4DE1,250-320,305.301,23,3,13.585176859796878,0.7615269933534536,0.836490140266615,0.8329414084178459,0.6557327701983013,0.08560090213557998
0JB,4DE0,250-320,305.301,23,3,11.506135997626167,0.740676165676522,0.818740524020663,0.8440789897312795,0.6200392458920188,0.06642479101229985
023,2WO8,320-400,391.5120000000001,28,10,11.240229850711588,0.7562118084143644,1.0,0.9152127202406533,0.4990046021952459,0.16094179493535074
027,3PIX,320-400,381.48400000000026,28,4,15.011452832332056,0.6349670937167058,0.8820973853338139,0.7688421279401454,0.15182642102867228,0.24761024069650156
035,3PFP,320-400,322.14300000000003,19,10,11.046698001755114,0.9036575625988966,0.9913224012801377,1.0,0.740282224153844,0.09443865544256551
036,3PFP,320-400,322.14300000000003,19,10,11.060349533311866,0.8939271959812141,0.9958486676143297,0.9615384615384616,0.7229205961925427,0.13036319206990882
03G,3TGS,320-400,337.851,23,2,13.840296033046137,0.7687227842203351,0.9938215746626698,0.9702970538470408,0.5091681111547521,0.17700303512526208
03O,3THS,320-400,330.34800000000007,23,4,15.29698590911585,0.8078459458207987,0.8867361760341864,1.0,0.5992365694413921,0.14415927377005416
03U,3U2O,320-400,368.36400000000015,27,5,14.461943642170144,0.9412956797309043,0.950640202658676,0.9767658835165669,0.9183115109748441,0.032294445023279085
03Z,3RAK,320-400,374.4470000000001,25,5,11.907058624739072,0.8711701141134387,0.913317809979068,0.974856918598947,0.7883926009878951,0.08375667512088772
042,2DC7,320-400,374.3900000000001,26,10,13.42965413904603,0.8049380375024531,0.8336334510033093,0.7686432103728568,0.792038994585071,0.07813981014950082
047,2PJL,320-400,332.491,25,5,13.00337264750235,0.9551345360954244,0.9945104248309838,1.0,0.8701298701298701,0.0752780282690612
048,3UVP,320-400,388.442,29,4,15.328666305734782,0.8747474688503563,0.9125867897506116,0.9473380024125881,0.8057851951519411,0.06719456025439234
04Y,7N3L,320-400,321.42400000000004,24,4,11.6823476274017,0.8835628814329611,0.9441167429540829,0.7590361445783133,0.8917993361580724,0.07379469369857224
056,2YLP,320-400,327.23199999999997,20,5,13.682702795328126,0.6701285595951413,0.7139070251420634,0.5589357776062114,0.6926009637782435,0.1533501444608228
057,3FQH,320-400,362.43300000000016,27,4,10.927407871483588,0.7385159312536661,0.8519530880336632,0.6956521739130435,0.6102762742921384,0.11715061296313216
058,3SKH,320-400,379.8180000000001,27,4,10.198360491804392,0.778242343510483,0.8815769471769844,0.7086287844605731,0.6865671641791045,0.14929182108407774
05L,3USP,320-400,341.306,19,8,12.285183999116715,0.37315408448345444,0.512,0.21591930372262425,0.35529524815205926,0.19220820722026227
05X,7EXD,320-400,377.36600000000004,27,4,11.636143217661424,0.9272567575968101,0.9868686754975999,0.9131359047427218,0.8951555519104301,0.05791389774071144
06A,7F0I,320-400,388.4470000000002,28,4,10.750967468163008,0.7740700396828898,0.9508447565634813,0.8343020416295517,0.5210354802367938,0.13914810815550524
06P,3QTV,320-400,367.47300000000007,27,6,11.245963465025763,0.8414833837771729,0.9767133681562579,0.6402990709401946,0.8342541436464088,0.10633082688538362
06U,3RO9,320-400,373.4600000000001,28,4,11.600031703238793,0.885673689700293,0.9712830013895322,0.9104477611940298,0.8222428475838408,0.06364030950648084
06V,3ROA,320-400,381.48000000000025,28,4,11.841093268083288,0.8716745787452131,0.9713024570964641,0.9104477611940298,0.7943363179698568,0.06526302090211411
06W,3SGY,320-400,373.4600000000001,28,4,11.056202436254912,0.8408931076468611,0.9788363297356294,0.8484848484848485,0.7612422663651168,0.10738280904145059
074,1QDQ,320-400,385.4610000000002,27,10,14.775129510393713,0.8488541497637027,0.9087651773668757,0.8059135845663518,0.8013953435961166,0.07444923472072414
07M,3TFQ,320-400,324.3650000000001,23,3,9.593288082715567,0.9032649013776375,0.9683220702311139,0.8424920743348572,0.8665076639051135,0.08193554165167354
07Q,3TV7,320-400,354.43500000000006,25,5,14.32162870398626,0.8606124620494102,0.987173112922655,0.840788466542211,0.7825861185943382,0.07924770758890219
07R,3TWJ,320-400,326.38100000000003,23,4,14.144531259229304,0.8796755675760359,0.9350050153200212,0.8819824313754168,0.8222903203259784,0.07436264607274028
07T,3U2Z,320-400,372.47500000000014,25,3,12.191876678765698,0.8799191377335818,0.9289731290547593,0.7759525513665496,0.8984611756319936,0.13573890106686257
07Z,3RK5,320-400,340.36400000000003,24,5,12.004101851625194,0.8664659492473976,0.941244240335717,0.9581615556281676,0.7273216804606585,0.09810177368910436
083,4BFQ,320-400,354.4170000000001,27,3,11.316190676287729,0.5067948340202832,0.6091687552842275,0.609445636290147,0.33358476223027256,0.1069048992060018
085,3TZM,320-400,384.39500000000004,29,4,13.227562913441082,0.8918408362084077,0.9401416071710551,0.8021020532807234,0.8363009610243728,0.06814738289594749
08E,3U4O,320-400,394.8180000000001,28,4,9.86741398480563,0.7921775361405685,0.8884889165974518,0.7445510234279218,0.6971625006882123,0.12754338557370784
08J,3U5K,320-400,325.77400000000006,23,1,8.599928570477353,0.7178521247710695,0.9466054564806342,0.6935662542058136,0.485807669612181,0.1641897943685405
08K,3U5L,320-400,323.78700000000003,23,1,8.270569157819857,0.7624269133106685,0.9251395356989378,0.6092207404605643,0.6153846153846154,0.11626289941901931
08O,7WKG,320-400,338.5760000000001,24,19,10.776578716946076,0.9275768213673328,0.8995590809427285,0.9883040935672515,0.8904109589041096,0.06292086265413391
08Q,3U6C,320-400,381.3470000000001,23,7,9.186875898661206,0.39378637169723063,0.8142413552314492,0.35468724650743577,0.0384907836401982,0.2656229084052584
08R,3TYM,320-400,370.4970000000001,27,9,14.5813959247707,0.592370991211053,0.7296997502609976,0.5365703478009168,0.48485492567819255,0.15791461950634766
08V,7N54,320-400,355.43400000000014,26,4,9.942231162114457,0.9253242096631606,0.9868856342699529,0.9786431820192038,0.8508969822141573,0.10048016018945534
08Z,3RK7,320-400,339.38,24,5,11.819255516201542,0.8440893601544024,0.9448462553497854,0.9440299165030681,0.673353391524637,0.12744520564503245
090,2CHX,320-400,350.3580000000001,26,4,12.834535766286846,0.8262225270674199,0.9218905573730518,0.8231753525413027,0.7289559095845672,0.1401608756643208
093,2CHZ,320-400,389.88600000000014,24,5,11.689647516265765,0.8833487461541493,0.8938710746181227,0.9356351281264222,0.8272630772475577,0.06714917168922183
097,1R55,320-400,331.41300000000007,23,7,10.5996888082122,0.7322008180310415,0.9227544302241413,0.873902654035144,0.5262454900527604,0.2097679662119673
099,3HYG,320-400,370.40500000000014,27,6,11.391088653141157,0.8066544245419769,0.8975761785336729,0.9665551705354372,0.5849056603773586,0.11528099654733595
09A,3UDM,320-400,322.36400000000003,24,3,11.217732674774663,0.8350270218683834,0.8714747039827772,0.8011975557422195,0.8193548387096774,0.06076447881958689
09B,3UDN,320-400,347.374,26,3,12.565701317255582,0.7999030930978099,0.8720192353024374,0.6871214470777408,0.775678812003865,0.0671203641103221
09F,3UDR,320-400,339.39500000000015,25,2,11.469224698102476,0.8919047242144369,0.9219118636978557,0.8960351447888358,0.8523781005726543,0.050879576410143755
09K,4FKI,320-400,325.2900000000001,23,5,13.219351663574026,0.8498735285273341,0.9415510561559935,0.9357453386046161,0.6885419747162875,0.0885707963385782
09W,7OQ7,320-400,377.4690000000001,27,5,11.632236413080538,0.5020345995490224,0.5611913158474763,0.4805925976670097,0.44886280753048935,0.13891813688133614
09Y,7N47,320-400,380.4040000000001,28,6,8.287634701660128,0.657560058118493,0.8013227909739774,0.5311166929973858,0.6062316483986896,0.1421398321210731
0A,4R8I,320-400,347.224,22,4,10.392460336554873,0.0,0.0,0.0,0.0,0.0
0AW,7OPW,320-400,377.46900000000005,27,5,13.810474147411085,0.4854609571593914,0.5372024503523822,0.4592851383143842,0.4470716137553198,0.09362197514849288
0B0,7N4S,320-400,390.49100000000004,29,4,11.502189776960453,0.8326462067947966,0.9237060162258718,0.648334393095602,0.832328511022723,0.0837910317378992
0B1,3VV7,320-400,347.4180000000001,26,4,8.838177893399934,0.7535522271337513,0.8485703806513238,0.603448275862069,0.7277594032115571,0.11251156808617435
0B6,5YGY,320-400,383.35800000000006,28,4,13.34942315271659,0.7777294743848221,0.9349586179239175,0.6717697583906426,0.706735275470637,0.10853273913676645
0B7,7OQ8,320-400,374.4690000000001,27,5,12.77334115947625,0.4670192968694379,0.4925188300372353,0.5333804707201201,0.3775242968916581,0.09877853669509536
0BB,3S0N,320-400,380.4690000000001,27,6,11.337382114614309,0.658184092198121,0.9712230215827338,0.8315271167930143,0.3145393333337059,0.21091239586420443
0BG,7N4R,320-400,324.38800000000003,24,7,11.779406930632783,0.8587393450649894,0.9025908265028987,0.6337422911963264,0.8934147376861667,0.12367739236895874
0BL,7OQU,320-400,391.49600000000004,28,5,12.19318680782058,0.4750876667468087,0.5236428054479959,0.18020691663615362,0.5043268105270893,0.11761798545398716
0BR,3U88,320-400,326.4400000000001,24,4,8.427037326539832,0.7959129708738983,0.9069355625265881,0.8972718422939272,0.6657121891549633,0.11499382210138909
0BS,7OQS,320-400,393.4680000000001,28,6,13.405814978442885,0.5546050927572492,0.7550617969314167,0.3131570677664979,0.4997545928294175,0.1130133563185457
0BW,3UR4,320-400,383.4480000000001,28,5,11.42755637792756,0.8287362602019317,0.8930188767694176,0.8200570435207919,0.7336361341411943,0.09947309356759841
002,2FV9,400-500,449.5480000000002,32,13,13.29705262882552,0.8071434301803811,0.8948665834880913,0.8176960381332976,0.7412576409587452,0.1204637780759977
003,2JFZ,400-500,439.5190000000001,33,5,9.345392508714852,0.8181373332249589,0.8699488864211647,0.9716363724668828,0.6570996639784716,0.13879298653842434
00A,3CW8,400-500,485.77700000000016,32,6,11.139259781741645,0.8704677845989824,0.9751143837575065,0.793381017665581,0.8553076969447422,0.12708700901412023
00J,2XIR,400-500,461.51800000000037,34,7,20.1499728306932,0.7741196995175813,0.9309455133782963,0.971957959466208,0.40871013059440175,0.1385974188680653
00P,1D9I,400-500,475.57100000000025,33,7,11.329663525342362,0.8009108712405086,0.9223950068454071,0.8085878350200449,0.7069867670729778,0.11724890512599943
01P,3QQU,400-500,428.4960000000003,32,6,11.273939402067155,0.81008229232503,0.9686566653259279,0.946078431372549,0.33242448781391487,0.1279199147806287
022,3QJ5,400-500,414.4650000000001,31,7,13.801561353311126,0.7933847985738899,0.8976716411217027,0.7166696023600025,0.8136715935929344,0.1422600661235774
024,2QBS,400-500,454.34200000000027,27,7,12.925140506963167,0.7913611303713048,0.9376821615664838,0.8213721444636518,0.6003553876538673,0.08009039349751619
02P,3QX5,400-500,401.9180000000001,28,6,11.442816506163844,0.849302732103144,0.9687367415128738,0.7136468733675219,0.8076923076923077,0.1171885691844993
032,3OG7,400-500,489.93100000000015,33,7,16.465227480174846,0.8552120036835292,0.9717164187936548,0.9264791864733034,0.643151035762568,0.15914525787835937
033,1ZTQ,400-500,492.5530000000002,35,8,20.1938199097984,0.780396968768757,0.846894587866811,0.9790567929215883,0.6209290337198577,0.12053063965289187
039,2CHW,400-500,450.9110000000002,31,5,10.514470586967516,0.8952403125369411,0.9934786477701696,0.8147612095846151,0.8791042204931719,0.0612810709157386
03C,3PIZ,400-500,438.5530000000003,31,5,12.477800862240588,0.7167402490842774,0.9842680596045733,0.8752144933164407,0.45132960651128673,0.21886862219059347
03I,3U1Y,400-500,490.62200000000024,34,11,21.1269360886971,0.833834711170381,0.8962018929394041,1.0,0.620063866603229,0.0810430005298318
03L,3TFP,400-500,466.77300000000014,29,6,12.301042002730611,0.9178869454015617,0.9652643480574229,0.9349335463379589,0.8595938761286576,0.08482835319605929
03M,3U15,400-500,401.8000000000002,28,3,15.25843220328136,0.8150420303900011,0.8364460251808512,0.7571778945571849,0.8267155540113988,0.11766801141835345
03Q,3PP0,400-500,493.8730000000002,34,9,15.033946602090973,0.9730693100678577,1.0,1.0,0.9445473375893845,0.036013770976250484
04J,4KN1,400-500,440.42000000000024,32,9,14.23372989099578,0.8354843225984362,0.9212017066669274,0.9199922295609702,0.713730500817223,0.07544548997081671
04K,3PJ2,400-500,477.54000000000025,35,10,20.50761777921347,0.6654226281949607,0.8823179570339773,0.8355489865680767,0.3147869395298035,0.158428972164488
04L,3PJ3,400-500,473.5360000000002,36,6,20.208338136531076,0.8559298224571059,0.9675210706420516,0.9134343837883687,0.6773735364123021,0.1193141015542856
