lig,name,label,heavy,clogp,model,apo_cav,holo_cav,apo_main,holo_main,fill,apo_rmax,holo_rmax,n_comp
lig0022,Dihydrocapsaicin,1,22,4.01,2,191.4,23.1,89.9,0.0,0.879,3.16,0.0,1
lig0022,Dihydrocapsaicin,1,22,4.01,3,192.0,30.2,113.0,0.0,0.843,3.23,0.0,1
lig0022,Dihydrocapsaicin,1,22,4.01,4,170.9,46.4,104.1,46.4,0.728,3.29,2.46,1
lig0023,Moguisteine,1,23,1.93,0,152.3,26.1,53.8,0.0,0.829,3.32,0.0,1
lig0026,Ramelteon,1,19,2.57,2,165.5,47.3,131.3,0.0,0.714,3.28,0.0,1
lig0026,Ramelteon,1,19,2.57,3,176.5,39.1,86.2,0.0,0.778,3.12,0.0,1
lig0026,Ramelteon,1,19,2.57,4,174.5,41.3,129.6,0.0,0.763,3.12,0.0,1
lig0027,S- (+)-Rolipram,1,20,2.62,0,157.7,33.0,92.9,0.0,0.791,3.16,0.0,1
lig0019,Etomidate hydrochloride,1,18,2.67,1,145.6,41.7,63.5,0.0,0.714,3.04,0.0,1
lig0019,Etomidate hydrochloride,1,18,2.67,2,157.7,42.3,157.7,0.0,0.732,3.06,0.0,1
lig0019,Etomidate hydrochloride,1,18,2.67,3,137.8,39.7,100.0,0.0,0.712,2.98,0.0,1
lig0019,Etomidate hydrochloride,1,18,2.67,4,150.3,38.7,69.8,0.0,0.743,3.13,0.0,1
lig0016,Tolmetin,1,19,2.19,0,169.3,32.4,125.1,0.0,0.809,3.15,0.0,1
lig0016,Tolmetin,1,19,2.19,1,175.4,34.1,117.5,0.0,0.806,3.04,0.0,1
lig0016,Tolmetin,1,19,2.19,2,186.4,50.1,117.7,0.0,0.731,3.1,0.0,1
lig0016,Tolmetin,1,19,2.19,3,187.9,49.0,125.5,49.0,0.739,3.16,2.43,1
lig0041,Istradefylline,1,28,2.12,3,179.5,25.3,111.2,0.0,0.859,3.1,0.0,1
lig0041,Istradefylline,1,28,2.12,4,194.6,41.9,133.7,0.0,0.785,3.09,0.0,1
lig0042,Picoxystrobin,1,26,3.84,0,167.8,51.6,115.6,51.6,0.692,3.17,2.48,1
lig0042,Picoxystrobin,1,26,3.84,1,188.6,41.9,133.7,0.0,0.778,3.2,0.0,1
lig0005,Estradiol Methyl Ether,1,21,3.91,3,153.6,36.3,102.6,0.0,0.764,3.29,0.0,1
lig0005,Estradiol Methyl Ether,1,21,3.91,4,176.3,37.6,112.8,0.0,0.787,3.36,0.0,1
lig0006,Ethinyl Estradiol,1,22,3.61,0,179.3,35.9,150.1,0.0,0.8,3.27,0.0,1
lig0006,Ethinyl Estradiol,1,22,3.61,1,157.0,30.2,111.9,0.0,0.808,3.19,0.0,1
lig0038,Valproic acid,1,10,2.29,2,133.7,23.5,133.7,0.0,0.824,3.03,0.0,1
lig0038,Valproic acid,1,10,2.29,3,122.0,28.3,84.0,0.0,0.768,3.08,0.0,1
lig0038,Valproic acid,1,10,2.29,4,122.7,27.9,95.7,0.0,0.773,3.1,0.0,1
lig0039,Acetamiprid,1,15,2.07,0,145.2,37.8,145.2,0.0,0.74,3.01,0.0,1
lig0035,Cycloate,1,14,3.51,1,153.6,25.9,153.6,0.0,0.831,3.22,0.0,1
lig0035,Cycloate,1,14,3.51,2,160.7,44.7,101.1,0.0,0.722,3.0,0.0,1
lig0035,Cycloate,1,14,3.51,3,146.7,32.4,66.3,0.0,0.779,3.08,0.0,1
lig0035,Cycloate,1,14,3.51,4,145.6,39.7,98.5,0.0,0.727,3.03,0.0,1
lig0039,Acetamiprid,1,15,2.07,1,134.8,42.6,134.8,0.0,0.684,3.18,0.0,1
lig0039,Acetamiprid,1,15,2.07,2,146.2,38.4,146.2,0.0,0.737,3.17,0.0,1
lig0039,Acetamiprid,1,15,2.07,3,138.9,44.3,138.9,0.0,0.681,3.03,0.0,1
lig0039,Acetamiprid,1,15,2.07,4,148.6,40.8,148.6,0.0,0.725,3.18,0.0,1
lig0003,Desogestrel,1,23,4.87,1,213.0,22.9,144.5,0.0,0.892,3.44,0.0,1
lig0003,Desogestrel,1,23,4.87,2,203.0,28.5,102.2,0.0,0.86,3.39,0.0,1
lig0003,Desogestrel,1,23,4.87,3,202.4,22.9,84.2,0.0,0.887,3.24,0.0,1
lig0003,Desogestrel,1,23,4.87,4,208.4,22.2,113.2,0.0,0.893,3.44,0.0,1
lig0034,DEET,1,14,2.48,2,160.3,43.4,56.4,0.0,0.729,3.11,0.0,1
lig0034,DEET,1,14,2.48,3,170.4,42.3,118.2,0.0,0.752,3.2,0.0,1
lig0034,DEET,1,14,2.48,4,178.2,42.8,125.7,0.0,0.76,3.17,0.0,1
lig0035,Cycloate,1,14,3.51,0,137.4,23.8,137.4,0.0,0.827,2.96,0.0,1
lig0004,Estradiol,1,20,3.61,4,149.5,43.8,89.9,0.0,0.707,3.09,0.0,1
lig0005,Estradiol Methyl Ether,1,21,3.91,0,180.1,33.5,80.6,0.0,0.814,3.21,0.0,1
lig0005,Estradiol Methyl Ether,1,21,3.91,1,167.2,42.1,95.0,0.0,0.748,3.22,0.0,1
lig0005,Estradiol Methyl Ether,1,21,3.91,2,185.3,23.1,117.7,0.0,0.875,3.31,0.0,1
lig0000,Alpha-Estradiol,1,20,3.61,4,196.1,35.4,141.7,0.0,0.819,3.22,0.0,1
lig0001,Boldenone,1,21,3.66,0,222.5,27.6,102.6,0.0,0.876,3.34,0.0,1
lig0001,Boldenone,1,21,3.66,1,178.2,41.3,86.2,0.0,0.768,3.19,0.0,1
lig0001,Boldenone,1,21,3.66,2,211.5,26.1,138.5,0.0,0.877,3.24,0.0,1
lig0023,Moguisteine,1,23,1.93,1,165.9,45.8,165.9,0.0,0.724,3.23,0.0,1
lig0023,Moguisteine,1,23,1.93,2,174.7,26.6,174.7,0.0,0.848,3.19,0.0,1
lig0023,Moguisteine,1,23,1.93,3,162.4,27.9,144.3,0.0,0.828,3.35,0.0,1
lig0023,Moguisteine,1,23,1.93,4,171.3,32.4,171.3,0.0,0.811,3.19,0.0,1
lig0044,"Voxelotor(GBT440, GTx011)",1,25,3.62,0,185.8,47.1,130.5,0.0,0.747,3.22,0.0,1
lig0044,"Voxelotor(GBT440, GTx011)",1,25,3.62,1,210.2,42.6,89.6,0.0,0.797,3.41,0.0,1
lig0044,"Voxelotor(GBT440, GTx011)",1,25,3.62,2,206.5,45.4,140.6,0.0,0.78,3.28,0.0,1
lig0044,"Voxelotor(GBT440, GTx011)",1,25,3.62,3,183.8,40.6,108.0,0.0,0.779,3.21,0.0,1
lig0001,Boldenone,1,21,3.66,3,156.8,36.7,130.2,0.0,0.766,3.4,0.0,1
lig0001,Boldenone,1,21,3.66,4,191.6,23.5,79.5,0.0,0.877,3.36,0.0,1
lig0002,Dehydroandrographolide,1,24,3.12,0,198.7,23.8,198.7,0.0,0.88,3.21,0.0,1
lig0002,Dehydroandrographolide,1,24,3.12,1,173.4,28.3,116.2,0.0,0.837,3.34,0.0,1
lig0042,Picoxystrobin,1,26,3.84,2,190.7,43.4,58.8,0.0,0.772,3.15,0.0,1
lig0042,Picoxystrobin,1,26,3.84,3,203.5,48.8,124.6,0.0,0.76,3.22,0.0,1
lig0042,Picoxystrobin,1,26,3.84,4,175.2,46.9,107.6,0.0,0.732,3.27,0.0,1
lig0043,Pyraclostrobin,1,27,4.24,0,153.1,44.5,119.9,0.0,0.709,3.37,0.0,1
lig0006,Ethinyl Estradiol,1,22,3.61,2,170.2,22.7,79.5,0.0,0.867,3.21,0.0,1
lig0006,Ethinyl Estradiol,1,22,3.61,3,227.9,32.0,155.1,0.0,0.86,3.3,0.0,1
lig0006,Ethinyl Estradiol,1,22,3.61,4,181.4,35.2,77.8,0.0,0.806,3.15,0.0,1
lig0007,Ethisterone,1,23,3.88,0,214.1,44.1,85.3,0.0,0.794,3.29,0.0,1
lig0050,Lonidamine,1,21,4.09,2,143.2,44.9,89.6,0.0,0.686,3.0,0.0,1
lig0050,Lonidamine,1,21,4.09,3,145.4,43.0,48.4,0.0,0.704,3.09,0.0,1
lig0050,Lonidamine,1,21,4.09,4,146.4,44.1,92.9,0.0,0.699,2.97,0.0,1
lig0051,Niclosamide,1,21,3.86,0,171.7,42.1,140.8,0.0,0.755,2.98,0.0,1
lig0047,Phenmedipham,1,22,3.78,1,190.5,44.1,132.8,0.0,0.769,3.3,0.0,1
lig0047,Phenmedipham,1,22,3.78,2,162.6,44.7,136.9,0.0,0.725,3.22,0.0,1
lig0047,Phenmedipham,1,22,3.78,3,157.5,45.6,79.3,0.0,0.71,3.07,0.0,1
lig0047,Phenmedipham,1,22,3.78,4,176.0,49.2,130.0,0.0,0.72,3.16,0.0,1
lig0036,Ethoprop,1,13,4.42,4,143.6,27.4,68.7,0.0,0.809,3.09,0.0,1
lig0037,Thioctic acid,1,12,2.79,0,127.7,22.5,86.8,0.0,0.824,3.06,0.0,1
lig0037,Thioctic acid,1,12,2.79,1,137.8,24.8,85.5,0.0,0.82,2.99,0.0,1
lig0037,Thioctic acid,1,12,2.79,2,127.4,22.5,127.4,0.0,0.823,2.91,0.0,1
lig0000,Alpha-Estradiol,1,20,3.61,0,170.9,25.1,170.9,0.0,0.853,3.35,0.0,1
lig0000,Alpha-Estradiol,1,20,3.61,1,188.1,23.8,102.0,0.0,0.873,3.3,0.0,1
lig0000,Alpha-Estradiol,1,20,3.61,2,191.8,24.4,151.4,0.0,0.873,3.26,0.0,1
lig0000,Alpha-Estradiol,1,20,3.61,3,167.2,36.9,114.5,0.0,0.779,3.19,0.0,1
lig0008,Lynestrenol,1,21,4.31,0,180.4,34.3,109.5,0.0,0.81,3.05,0.0,1
lig0008,Lynestrenol,1,21,4.31,1,186.8,27.6,139.3,0.0,0.852,3.33,0.0,1
lig0008,Lynestrenol,1,21,4.31,2,181.9,37.4,76.0,0.0,0.794,3.14,0.0,1
lig0008,Lynestrenol,1,21,4.31,3,200.2,25.9,102.2,0.0,0.871,3.09,0.0,1
lig0046,Mebendazole,1,22,2.97,2,165.2,37.6,165.2,0.0,0.772,3.11,0.0,1
lig0046,Mebendazole,1,22,2.97,3,122.0,37.2,122.0,0.0,0.695,3.01,0.0,1
lig0046,Mebendazole,1,22,2.97,4,185.1,20.5,84.7,0.0,0.889,3.11,0.0,1
lig0047,Phenmedipham,1,22,3.78,0,133.9,40.8,78.8,0.0,0.695,3.01,0.0,1
lig0009,Mestranol,1,23,3.92,3,133.9,25.5,133.9,0.0,0.81,3.28,0.0,1
lig0009,Mestranol,1,23,3.92,4,134.6,25.1,134.6,0.0,0.814,3.2,0.0,1
lig0010,Methandrostenolone,1,22,4.05,0,190.7,30.7,118.2,0.0,0.839,3.17,0.0,1
lig0010,Methandrostenolone,1,22,4.05,1,236.1,25.1,205.4,0.0,0.894,3.3,0.0,1
lig0020,Medetomidine HCl,1,15,3.18,0,141.9,36.9,90.7,0.0,0.74,3.13,0.0,1
lig0020,Medetomidine HCl,1,15,3.18,1,146.7,36.7,146.7,0.0,0.75,3.06,0.0,1
lig0020,Medetomidine HCl,1,15,3.18,2,152.9,40.4,95.9,0.0,0.736,3.23,0.0,1
lig0020,Medetomidine HCl,1,15,3.18,3,157.0,40.6,122.0,0.0,0.741,3.18,0.0,1
lig0048,Diclofenac Sodium,1,19,4.36,4,167.8,40.6,73.4,0.0,0.758,3.13,0.0,1
lig0049,Flamprop-methyl,1,22,3.6,0,188.6,36.3,109.7,0.0,0.808,3.39,0.0,1
lig0049,Flamprop-methyl,1,22,3.6,1,176.3,30.0,176.3,0.0,0.83,3.31,0.0,1
lig0049,Flamprop-methyl,1,22,3.6,2,170.9,28.9,126.6,0.0,0.831,3.41,0.0,1
lig0012,Norethindrone Acetate,1,25,4.06,0,203.3,28.5,117.3,0.0,0.86,3.31,0.0,1
lig0012,Norethindrone Acetate,1,25,4.06,1,175.8,43.0,87.7,0.0,0.755,3.35,0.0,1
lig0012,Norethindrone Acetate,1,25,4.06,2,155.1,25.3,74.7,0.0,0.837,3.24,0.0,1
lig0012,Norethindrone Acetate,1,25,4.06,3,210.4,28.3,138.5,0.0,0.865,3.25,0.0,1
lig0007,Ethisterone,1,23,3.88,1,197.6,25.5,110.8,0.0,0.871,3.13,0.0,1
lig0007,Ethisterone,1,23,3.88,2,199.2,36.9,77.5,0.0,0.815,3.24,0.0,1
lig0007,Ethisterone,1,23,3.88,3,196.6,23.5,196.6,0.0,0.88,3.15,0.0,1
lig0007,Ethisterone,1,23,3.88,4,190.3,21.0,148.0,0.0,0.89,3.5,0.0,1
lig0016,Tolmetin,1,19,2.19,4,187.5,40.8,128.7,0.0,0.782,3.16,0.0,1
lig0017,Zaltoprofen,1,21,3.76,0,169.8,49.2,71.1,49.2,0.71,3.21,2.47,1
lig0017,Zaltoprofen,1,21,3.76,1,196.1,39.3,138.7,0.0,0.8,3.17,0.0,1
lig0017,Zaltoprofen,1,21,3.76,2,189.6,42.3,91.2,0.0,0.777,3.07,0.0,1
lig0032,Amiprofos Methyl,1,19,3.15,0,159.0,32.8,104.3,0.0,0.794,3.05,0.0,1
lig0032,Amiprofos Methyl,1,19,3.15,1,157.9,33.9,93.7,0.0,0.785,3.23,0.0,1
lig0032,Amiprofos Methyl,1,19,3.15,2,151.2,40.2,101.7,0.0,0.734,3.13,0.0,1
lig0032,Amiprofos Methyl,1,19,3.15,3,137.4,23.1,76.0,0.0,0.832,3.09,0.0,1
lig0024,Nonivamide,1,21,3.77,4,181.0,40.6,84.9,0.0,0.776,3.17,0.0,1
lig0025,Olanexidine Hydrochloride semihydrate,1,24,4.07,0,196.8,40.6,196.8,0.0,0.794,3.17,0.0,1
lig0025,Olanexidine Hydrochloride semihydrate,1,24,4.07,1,186.6,40.0,90.7,0.0,0.786,3.23,0.0,1
lig0025,Olanexidine Hydrochloride semihydrate,1,24,4.07,2,200.0,42.3,102.4,0.0,0.788,3.12,0.0,1
lig0018,Dexmedetomidine HCl,1,15,3.18,2,166.5,33.5,63.9,0.0,0.799,3.11,0.0,1
lig0018,Dexmedetomidine HCl,1,15,3.18,3,151.6,30.2,112.3,0.0,0.801,3.18,0.0,1
lig0018,Dexmedetomidine HCl,1,15,3.18,4,143.4,40.6,143.4,0.0,0.717,3.13,0.0,1
lig0019,Etomidate hydrochloride,1,18,2.67,0,156.8,34.8,156.8,0.0,0.778,3.13,0.0,1
