arm,design,n_main,n_cut_lead,n_cut_tail,cuttable,internal_run,cav_before,cav_after,env_before,env_after,rg_before,rg_after,app_before,app_after,verdict_before,verdict_after
arm1slack_s3001,d228,202,9,5,0,15,0.0,0.0,0.0,0.0,17.2,16.3,31,31,F1 no cavity,F1 no cavity
arm1slack_s3001,d229,96,15,17,0,7,0.0,0.0,0.0,0.0,20.9,12.6,18,1,F1 no cavity,F1 no cavity
arm1slack_s3001,d230,128,13,0,1,3,0.0,0.0,0.0,0.0,14.8,12.9,6,6,F1 no cavity,F1 no cavity
arm1slack_s3001,d231,193,0,7,0,16,0.0,0.0,0.0,0.0,17.5,17.2,28,28,F1 no cavity,F1 no cavity
arm1slack_s3001,d040,90,2,7,0,8,0.0,0.0,0.0,0.0,15.5,13.7,8,1,F1 no cavity,F1 no cavity
arm1slack_s3001,d041,132,0,8,0,9,0.0,0.0,0.0,0.0,15.7,14.0,13,10,F1 no cavity,F1 no cavity
arm1slack_s3001,d042,131,4,14,0,4,0.0,0.0,0.0,0.0,18.1,13.5,19,7,F1 no cavity,F1 no cavity
arm1slack_s3001,d043,100,14,13,0,6,0.0,0.0,0.0,0.0,18.4,14.1,13,3,F1 no cavity,F1 no cavity
arm1slack_s3001,d012,118,11,22,0,10,0.0,0.0,0.0,0.0,22.1,13.7,23,1,F1 no cavity,F1 no cavity
arm1slack_s3001,d013,199,8,6,0,20,0.0,0.0,0.0,0.0,17.7,16.9,9,9,F1 no cavity,F1 no cavity
arm1slack_s3001,d014,170,11,22,0,21,0.0,0.0,0.0,0.0,21.5,18.8,31,31,F1 no cavity,F1 no cavity
arm1slack_s3001,d015,189,5,0,0,23,0.0,0.0,0.0,0.0,18.9,18.7,32,32,F1 no cavity,F1 no cavity
arm1slack_s3001,d032,166,6,1,0,36,0.0,0.0,0.0,0.0,21.6,21.6,21,20,F1 no cavity,F1 no cavity
arm1slack_s3001,d033,224,14,1,0,28,0.0,0.0,0.0,0.0,22.3,21.8,21,21,F1 no cavity,F1 no cavity
arm1slack_s3001,d034,175,0,0,0,18,0.0,0.0,0.0,0.0,16.9,16.9,27,27,F1 no cavity,F1 no cavity
arm1slack_s3001,d035,172,0,0,0,32,0.0,0.0,0.0,0.0,22.8,22.8,18,18,F1 no cavity,F1 no cavity
arm1slack_s3001,d092,217,8,0,0,25,0.0,0.0,0.0,0.0,20.9,20.9,33,33,F1 no cavity,F1 no cavity
arm1slack_s3001,d093,205,1,2,0,31,0.0,0.0,0.0,0.0,21.6,21.6,18,18,F1 no cavity,F1 no cavity
arm1slack_s3001,d094,139,20,2,0,21,0.0,7.6,0.0,606.6,18.2,16.6,13,13,F1 no cavity,F2 envelope
arm1slack_s3001,d095,181,0,0,0,21,0.0,0.0,0.0,0.0,18.4,18.4,30,30,F1 no cavity,F1 no cavity
arm1slack_s3001,d240,125,0,5,1,3,0.0,0.0,0.0,0.0,14.4,13.5,10,7,F1 no cavity,F1 no cavity
arm1slack_s3001,d241,140,5,11,0,8,0.0,0.0,0.0,0.0,16.8,13.8,12,4,F1 no cavity,F1 no cavity
arm1slack_s3001,d242,108,17,11,0,24,0.0,0.0,0.0,0.0,20.1,16.0,18,8,F1 no cavity,F1 no cavity
arm1slack_s3001,d243,133,4,7,0,15,0.0,0.0,0.0,0.0,16.1,15.0,18,18,F1 no cavity,F1 no cavity
arm1slack_s3001,d048,88,2,4,0,14,0.0,0.0,0.0,0.0,15.5,15.8,3,2,F1 no cavity,F1 no cavity
arm1slack_s3001,d049,135,7,9,1,3,0.0,0.0,0.0,0.0,15.6,12.9,10,2,F1 no cavity,F1 no cavity
arm1slack_s3001,d050,156,0,11,0,17,0.0,0.0,0.0,0.0,21.2,20.0,34,34,F1 no cavity,F1 no cavity
arm1slack_s3001,d051,146,4,2,0,18,0.0,0.0,0.0,0.0,17.9,17.9,29,29,F1 no cavity,F1 no cavity
arm1slack_s3001,d172,217,18,1,0,22,0.0,0.0,0.0,0.0,20.9,19.2,29,29,F1 no cavity,F1 no cavity
arm1slack_s3001,d173,122,0,0,0,4,0.0,0.0,0.0,0.0,13.7,13.7,7,7,F1 no cavity,F1 no cavity
arm1slack_s3001,d174,85,10,5,0,10,0.0,0.0,0.0,0.0,16.5,15.8,5,4,F1 no cavity,F1 no cavity
arm1slack_s3001,d175,120,6,0,0,5,0.0,0.0,0.0,0.0,14.4,13.9,7,7,F1 no cavity,F1 no cavity
arm1slack_s3001,d068,100,10,5,0,30,0.0,0.0,0.0,0.0,20.0,20.1,37,37,F1 no cavity,F1 no cavity
arm1slack_s3001,d069,102,4,26,0,8,0.0,0.0,0.0,0.0,22.8,13.1,26,2,F1 no cavity,F1 no cavity
arm1slack_s3001,d070,211,15,1,0,24,0.0,0.0,0.0,0.0,20.3,19.2,33,33,F1 no cavity,F1 no cavity
arm1slack_s3001,d071,143,17,0,0,4,0.0,0.0,0.0,0.0,14.9,13.7,3,2,F1 no cavity,F1 no cavity
arm1slack_s3001,d104,174,6,29,0,24,0.0,0.0,0.0,0.0,21.3,18.4,15,15,F1 no cavity,F1 no cavity
arm1slack_s3001,d105,144,0,2,0,27,0.0,0.0,0.0,0.0,19.6,19.6,34,33,F1 no cavity,F1 no cavity
arm1slack_s3001,d106,199,0,1,0,16,0.0,0.0,0.0,0.0,18.2,18.2,27,27,F1 no cavity,F1 no cavity
arm1slack_s3001,d107,131,3,16,0,4,0.0,0.0,0.0,0.0,18.8,12.9,20,8,F1 no cavity,F1 no cavity
arm1slack_s3001,d204,214,12,0,0,23,0.0,0.0,0.0,0.0,20.9,20.3,26,26,F1 no cavity,F1 no cavity
arm1slack_s3001,d205,170,24,22,0,10,0.0,0.0,0.0,0.0,20.3,15.8,28,12,F1 no cavity,F1 no cavity
arm1slack_s3001,d206,127,6,0,0,9,0.0,0.0,0.0,0.0,16.2,16.0,8,8,F1 no cavity,F1 no cavity
arm1slack_s3001,d207,127,13,0,1,2,0.0,0.0,0.0,0.0,14.6,13.8,4,4,F1 no cavity,F1 no cavity
arm1slack_s3001,d084,128,5,0,0,4,0.0,0.0,0.0,0.0,14.1,13.9,1,1,F1 no cavity,F1 no cavity
arm1slack_s3001,d085,210,0,3,0,23,0.0,0.0,0.0,0.0,20.2,20.0,30,30,F1 no cavity,F1 no cavity
arm1slack_s3001,d086,200,6,0,0,20,0.0,0.0,0.0,0.0,18.5,18.2,30,30,F1 no cavity,F1 no cavity
arm1slack_s3001,d087,206,2,0,0,22,0.0,0.0,0.0,0.0,20.0,20.0,27,27,F1 no cavity,F1 no cavity
arm0a_s2026,d000,103,22,3,0,11,0.0,0.0,0.0,0.0,18.9,15.2,7,6,F1 no cavity,F1 no cavity
arm0a_s2026,d001,174,3,0,0,14,0.0,0.0,0.0,0.0,17.5,17.4,11,11,F1 no cavity,F1 no cavity
arm0a_s2026,d002,97,6,0,0,21,0.0,0.0,0.0,0.0,17.5,16.8,12,7,F1 no cavity,F1 no cavity
arm0a_s2026,d003,169,1,0,0,5,0.0,0.0,0.0,0.0,16.3,16.2,2,2,F1 no cavity,F1 no cavity
arm1slack_s3001,d056,90,0,7,0,5,0.0,0.0,0.0,0.0,15.4,13.5,9,2,F1 no cavity,F1 no cavity
arm1slack_s3001,d057,205,7,0,0,30,0.0,0.0,0.0,0.0,20.8,20.8,19,19,F1 no cavity,F1 no cavity
arm1slack_s3001,d058,152,21,7,0,7,0.0,0.0,0.0,0.0,17.9,14.9,18,18,F1 no cavity,F1 no cavity
arm1slack_s3001,d059,182,0,0,0,17,0.0,0.0,0.0,0.0,17.0,17.0,34,34,F1 no cavity,F1 no cavity
arm1slack_s3001,d236,201,0,2,0,21,0.0,0.0,0.0,0.0,20.5,20.3,34,34,F1 no cavity,F1 no cavity
arm1slack_s3001,d237,112,4,0,1,3,0.0,0.0,0.0,0.0,13.5,13.2,0,0,F1 no cavity,F1 no cavity
arm1slack_s3001,d238,154,0,14,0,23,0.0,0.0,0.0,0.0,20.1,18.3,28,28,F1 no cavity,F1 no cavity
arm1slack_s3001,d239,101,3,16,0,7,0.0,0.0,0.0,0.0,19.6,14.9,16,1,F1 no cavity,F1 no cavity
arm1slack_s3001,d132,119,0,0,0,4,0.0,0.0,0.0,0.0,14.4,14.4,4,4,F1 no cavity,F1 no cavity
arm1slack_s3001,d133,102,9,7,0,31,0.0,0.0,0.0,0.0,18.2,17.7,11,7,F1 no cavity,F1 no cavity
