leg,window,lam,mean,se,tau,n_eff,first_half,second_half,drift
aba,0,0.00922,11.5600,0.4123,11.47,208.9,11.7385,11.3816,-0.3569
aba,1,0.04794,217.1144,2.5045,7.60,308.7,214.2589,219.9699,5.7111
aba,2,0.11505,313.5054,10.7019,175.03,14.2,325.5546,301.4563,-24.0983
aba,3,0.20634,195.5259,0.9700,3.98,557.6,197.4014,193.6503,-3.7512
aba,4,0.31608,84.5371,1.6963,20.38,119.7,87.8038,81.2704,-6.5334
aba,5,0.43738,53.9496,0.4110,0.80,1929.5,52.7039,55.1953,2.4914
aba,6,0.56262,22.3861,1.7976,23.46,104.3,22.1933,22.5789,0.3856
aba,7,0.68392,-61.5098,5.2862,149.19,16.7,-55.4920,-67.5275,-12.0355
aba,8,0.79366,-184.9996,5.6554,141.89,17.6,-192.2664,-177.7327,14.5337
aba,9,0.88495,-270.8890,4.6034,41.96,58.9,-275.9726,-265.8053,10.1673
aba,10,0.95206,-245.2231,8.0421,46.26,53.5,-245.5752,-244.8710,0.7042
aba,11,0.99078,-24.2247,0.4265,4.49,500.9,-24.9638,-23.4856,1.4782
mandi_xtal,0,0.00922,18.2614,0.4198,5.25,434.5,18.7133,17.8096,-0.9037
mandi_xtal,1,0.04794,183.0362,2.0128,5.69,403.6,185.1333,180.9390,-4.1943
mandi_xtal,2,0.11505,346.5450,2.2359,7.23,323.6,349.2625,343.8275,-5.4350
mandi_xtal,3,0.20634,189.4639,1.2350,7.33,319.4,191.6839,187.2440,-4.4399
mandi_xtal,4,0.31608,96.1358,1.1872,11.28,212.3,92.7899,99.4816,6.6918
mandi_xtal,5,0.43738,35.9175,0.9410,5.96,387.2,36.4397,35.3953,-1.0443
mandi_xtal,6,0.56262,4.6678,3.3449,71.44,34.8,9.5553,-0.2197,-9.7749
mandi_xtal,7,0.68392,-49.6861,6.5795,244.92,10.2,-58.2700,-41.1022,17.1679
mandi_xtal,8,0.79366,-180.5705,1.2553,7.45,314.3,-181.1735,-179.9675,1.2060
mandi_xtal,9,0.88495,-290.3649,5.0211,40.72,60.6,-297.8964,-282.8333,15.0631
mandi_xtal,10,0.95206,-219.3587,6.0185,24.76,99.0,-209.7059,-229.0115,-19.3056
mandi_xtal,11,0.99078,-26.0276,0.5628,7.07,330.2,-25.5417,-26.5136,-0.9719
mandi_dock,0,0.00922,9.5181,0.4730,10.44,228.4,8.1592,10.8769,2.7178
mandi_dock,1,0.04794,27.3461,6.2792,53.89,46.0,33.7932,20.8991,-12.8941
mandi_dock,2,0.11505,-293.6978,3.5084,20.86,117.1,-301.8008,-285.5947,16.2060
mandi_dock,3,0.20634,-1180.5975,0.9155,0.17,3711.7,-1186.9411,-1174.2540,12.6871
mandi_dock,4,0.31608,-2163.1516,1.3351,0.06,4494.5,-2159.4410,-2166.8622,-7.4212
mandi_dock,5,0.43738,-2675.4996,1.6884,0.06,4450.9,-2678.0318,-2672.9675,5.0643
mandi_dock,6,0.56262,-2403.7457,1.5479,0.01,4869.4,-2406.9908,-2400.5006,6.4902
mandi_dock,7,0.68392,-1653.5094,1.1857,0.06,4429.9,-1646.9406,-1660.0783,-13.1377
mandi_dock,8,0.79366,-985.2493,5.9702,28.49,86.2,-992.3728,-978.1258,14.2470
mandi_dock,9,0.88495,-605.0577,8.2175,68.93,36.0,-617.3773,-592.7382,24.6390
mandi_dock,10,0.95206,-221.5365,7.9063,45.34,54.5,-225.4115,-217.6615,7.7500
mandi_dock,11,0.99078,-28.3378,0.5320,5.82,395.7,-28.4834,-28.1923,0.2911
apo,0,0.00922,21.4813,0.3255,2.80,757.2,21.5578,21.4048,-0.1529
apo,1,0.04794,181.9375,6.2558,52.47,47.2,173.0528,190.8222,17.7695
apo,2,0.11505,302.8896,2.7570,14.92,162.1,306.8042,298.9750,-7.8292
apo,3,0.20634,189.7302,1.2098,7.24,323.0,188.9512,190.5091,1.5580
apo,4,0.31608,89.2678,0.4494,1.49,1259.4,88.8358,89.6998,0.8640
apo,5,0.43738,47.4920,1.7603,22.67,107.9,48.5516,46.4323,-2.1192
apo,6,0.56262,15.4270,3.8377,95.76,26.0,19.9475,10.9064,-9.0411
apo,7,0.68392,-59.2627,0.7893,4.77,474.7,-56.9402,-61.5852,-4.6450
apo,8,0.79366,-153.8459,1.0452,6.62,351.1,-154.5001,-153.1917,1.3083
apo,9,0.88495,-254.5033,5.4106,51.03,48.5,-249.0970,-259.9097,-10.8127
apo,10,0.95206,-197.5345,16.1297,261.19,9.6,-174.8387,-220.2304,-45.3918
apo,11,0.99078,-20.5623,1.5331,71.44,34.8,-18.5361,-22.5885,-4.0524
