arm,design,cavity,n_main,appendage,gap1,gap2,gap3,gap4
arm0b_s2027,d003,0.0,185.0,12.0,11,18,34,31
arm0a_s2026,d003,0.0,169.0,2.0,12,21,32,27
arm0a_s2026,d001,0.0,174.0,11.0,12,19,35,27
arm0a_s2026,d008,0.0,176.0,5.0,10,22,33,28
arm0a_s2026,d005,0.0,188.0,14.0,10,30,33,36
arm0b_s2027,d005,0.0,191.0,27.0,13,21,35,39
arm0b_s2027,d002,114.7,164.0,5.0,10,26,21,31
arm0b_s2027,d008,30.2,189.0,11.0,12,29,32,32
arm4rep_s3004,d000,0.0,194.0,27.0,16,26,32,36
arm1slack_s3001,d121,0.0,196.0,19.0,19,25,35,35
arm1slack_s3001,d146,0.0,202.0,27.0,20,15,32,40
arm1slack_s3001,d080,0.0,185.0,28.0,15,15,33,37
arm1slack_s3001,d013,0.0,199.0,9.0,12,25,31,38
arm1slack_s3001,d116,0.0,206.0,29.0,16,22,39,39
arm1slack_s3001,d031,0.0,191.0,28.0,10,15,30,38
arm1slack_s3001,d070,0.0,211.0,33.0,18,19,40,45
arm1slack_s3001,d122,0.0,198.0,32.0,14,15,38,46
arm1slack_s3001,d074,0.0,202.0,28.0,16,24,38,38
arm1slack_s3001,d029,0.0,196.0,24.0,12,23,42,38
arm1slack_s3001,d106,0.0,199.0,27.0,18,23,34,38
arm1slack_s3001,d062,0.0,191.0,23.0,11,15,31,41
arm1slack_s3001,d087,0.0,206.0,27.0,14,27,39,41
arm1slack_s3001,d109,0.0,200.0,31.0,20,21,39,36
arm1slack_s3001,d005,0.0,207.0,25.0,16,27,41,37
arm1slack_s3001,d033,0.0,224.0,21.0,17,30,42,50
arm1slack_s3001,d086,0.0,200.0,30.0,16,17,33,38
arm1slack_s3001,d125,0.0,205.0,32.0,16,28,35,41
arm1slack_s3001,d054,0.0,227.0,14.0,19,27,44,46
arm1slack_s3001,d064,0.0,212.0,23.0,17,30,42,36
arm1slack_s3001,d092,0.0,217.0,33.0,20,28,45,40
arm1slack_s3001,d028,0.0,205.0,35.0,11,24,41,41
arm1slack_s3001,d026,0.0,216.0,28.0,11,26,40,44
arm1slack_s3001,d023,0.0,199.0,34.0,19,16,38,41
arm1slack_s3001,d090,0.0,220.0,37.0,20,29,31,48
arm1slack_s3001,d101,0.0,211.0,27.0,20,24,41,41
arm1slack_s3001,d085,0.0,210.0,30.0,17,27,38,40
arm1slack_s3001,d077,0.0,224.0,32.0,15,29,44,46
arm1slack_s3001,d137,0.0,208.0,16.0,15,30,37,37
arm1slack_s3001,d127,0.0,217.0,20.0,13,22,45,43
arm1slack_s3001,d076,0.0,203.0,28.0,19,27,43,36
arm1slack_s3001,d060,0.0,222.0,28.0,14,26,40,48
arm1slack_s3001,d057,0.0,205.0,19.0,15,19,36,48
arm1slack_s3001,d037,0.0,203.0,16.0,20,30,30,40
arm1slack_s3001,d061,0.0,201.0,32.0,20,18,41,36
arm4rep_s3004,d008,0.0,172.0,1.0,10,23,28,25
arm1slack_s3001,d143,0.0,204.0,34.0,14,17,44,39
arm4rep_s3004,d010,0.0,178.0,10.0,19,19,33,25
arm1slack_s3001,d102,0.0,220.0,32.0,16,27,44,49
arm1slack_s3001,d038,0.0,213.0,30.0,15,28,44,39
arm1slack_s3001,d093,0.0,205.0,18.0,11,17,33,49
arm1slack_s3001,d015,0.0,189.0,32.0,10,15,31,41
arm1slack_s3001,d139,0.0,207.0,30.0,10,22,32,48
arm1slack_s3001,d081,0.0,211.0,17.0,12,21,33,50
arm4rep_s3004,d002,0.0,187.0,11.0,13,21,33,34
arm1slack_s3001,d140,0.0,220.0,36.0,13,25,44,45
arm1slack_s3001,d078,0.0,210.0,34.0,13,29,31,49
arm4rep_s3004,d038,0.0,164.0,4.0,11,23,24,25
arm4rep_s3004,d069,0.0,173.0,2.0,19,20,25,33
arm1slack_s3001,d088,13.0,188.0,26.0,19,21,37,35
arm4rep_s3004,d050,0.0,197.0,12.0,19,19,29,38
arm4rep_s3004,d011,0.0,170.0,5.0,12,20,31,25
arm4rep_s3004,d048,0.0,176.0,16.0,16,24,20,33
arm4rep_s3004,d019,0.0,189.0,27.0,19,19,29,36
arm4rep_s3004,d057,0.0,181.0,1.0,15,24,29,32
arm1slack_s3001,d024,35.4,186.0,27.0,14,15,37,40
arm4rep_s3004,d067,0.0,190.0,4.0,19,26,29,25
arm4rep_s3004,d003,0.0,199.0,17.0,15,17,33,40
arm4rep_s3004,d042,0.0,184.0,27.0,13,26,20,40
arm1slack_s3001,d131,21.0,195.0,15.0,16,19,38,35
arm4rep_s3004,d014,0.0,184.0,8.0,11,30,27,27
arm4rep_s3004,d052,0.0,198.0,6.0,20,27,29,30
arm4rep_s3004,d031,0.0,206.0,31.0,15,30,34,38
arm4rep_s3004,d047,0.0,185.0,29.0,11,25,24,40
arm4rep_s3004,d043,0.0,173.0,5.0,12,28,25,27
arm4rep_s3004,d006,0.0,206.0,28.0,14,27,28,38
arm4rep_s3004,d046,0.0,189.0,7.0,19,27,34,26
arm4rep_s3004,d015,114.0,171.0,1.0,14,16,25,27
arm1slack_s3001,d129,27.4,211.0,26.0,20,28,31,39
arm4rep_s3004,d077,0.0,203.0,9.0,19,26,28,32
